cell_name	average_expression	binary_call	time_point_expression
ABa	-3112	0	-3112
ABal	-2175	0	346,-356,-2456,-3057,-638,-1234,-2205,-2979,-3165,-3594,-3142,-3625
ABala	-2771	0	-2539,-326,-2534,-4036,-3173,-3479,-3040,-3326,-2658,-4158,-2306,-3772,-2533,-1795,-1893
ABalaa	-558	0	-1238,-2638,-3740,-1541,-1705,-390,-3202,-347,1610,-545,-1488,1188,208,-382,1726,485,1840,1553,-219,-1066,-1826
ABalaaa	1331	0	-2771,-1051,-2778,-660,247,4832,2007,2795,1575,459,1751,1625,2867,1122,2457,2632,3780,2212,1744,679,2497,1673,2546,-292
ABalaaaa	661	0	-2105,-1947,-610,1591,1888,1538,1620,3414,3151,250,3287,434,15,3594,920,75,1693,1944,-730,1114,2135,-944,-1346,2010,-166,2963,2523,-141,-1091,-1890,-1146,-2895
ABalaaaal	145	0	-983,950,-761,-611,808,-931,-2810,980,-693,1547,1532,-3765,255,-1265,566,3019,981,375,1493,-599,923,752,2913,1789,-612,-444,-1641,-2329,1446,-1903,3370,2307,3394,987,-2825,513,-102,-3128
ABalaaaala	1073	0	326,2288,957,2334,-1120,1979,202,350,1675,2899,-707,327,56,2698,-2812,-1320,4145,3926,4448,-3319,364,3903
ABalaaaalp	-243	0	-2942,-2450,2566,-2184,3092,-953,3913,2675,500,-338,970,-1489,1943,-1927,-4532,-2665,3805,-2168,-1272,-2142,2018,-1771
ABalaaaar	-461	0	384,-1991,-283,-1284,-257,705,761,918,-812,3991,-731,2041,-697,-1107,1156,-2964,-565,-995,1635,-1773,-223,-1714,-4044,-555,115,-1006,-3334,-3462,-1257,2712,1518,-1429,3587,732,-2450,1893,-889,-3379,-2931
ABalaaaarl	-748	0	-298,702,212,-2607,-1302,257,1483,-799,1852,-4322,-2884,1209,259,-2208,-1575,-4588,1687,4688,-1298,-5107,-1078
ABalaaaarr	-847	0	-149,-3486,-1560,1317,203,2493,218,3076,728,2977,-1897,-287,-1108,-1161,-5205,-737,-2904,-3054,-1730,-1083,-4438
ABalaaap	-857	0	-2323,-3223,-2321,-732,1142,-956,-72,3044,304,19,-156,-2087,-3518,155,-23,-786,1773,1074,-273,-3012,-1134,1754,-1811,-1888,-368,-1444,-2447,-1594,-3961
ABalaaapa	-869	0	543,-2687,-1689,1271,-914,1029,1199,-1527,1784,-1659,-2423,657,538,-1712,79,-2561,3307,-1186,-1789,-698,-582,876,-1386,-1979,1643,-2816,-369,-716,-2562,-971,-5892,-2610,1086,-4190,-882,-79,-2297
ABalaaapal	-1351	0	1534,-5017,-3044,-3327,-4046,355,-71,1162,-2784,-1435,-149,-2313,-2391,-1446,1040,-876,-178,-1701,-1768,-293,-1891,-1477,402,-369,-2138,-2909
ABalaaapar	-96	0	-557,1802,-3078,-3056,39,2346,1240,892,1664,-78,-1483,1393,-4245,-85,1099,3384,-847,560,-2067,3066,-1402,-1108,-2261,881,-1069,486
ABalaaapp	-451	0	-1943,-646,-812,1587,1428,-427,-765,-589,-923,148,-1335,-889,-5378,1367,1693,-29,674,-1943,-84,-1752,-1604,-3628,-796,-1824,-2032,2569,-1126,1277,-239,905,-209,-1812,-277,321,1764,1083
ABalaaappl	-99	0	963,450,-2006,-4909,1629,247,-1931,-348,1703,1500,679,-496,-1709,1980,63,1862,2899,-2014,-2485,2295,2632,-1829,847,57,-43,-3356,-1343
ABalaaappr	-401	0	589,-1106,1705,-2821,-1050,-1909,486,-410,-1359,-866,1029,-800,991,2313,-2253,724,-3435,-456,3199,-2130,-2735,-102,1831,-2773,-1979,2202,288
ABalaap	689	0	-933,-1340,-1170,2382,3380,1988,1948,1337,3090,1810,2058,759,2858,2643,-242,-421,2138,-367,-2138,-1400,-870,1503,244,-1049,-986
ABalaapa	-228	0	-1022,-2168,-1104,396,649,53,570,-1031,679,-1079,-1847,2395,-337,-1777,-127,336,453,983,774,-1216,-1539,-387,-1365,574,2929,1029,-416,-98,-2599,-1571,-1105,1658
ABalaapaa	110	0	-1228,531,-534,-1340,2044,5338,1031,-456,-471,-3030,238,-2636,-3102,-40,2114,749,-2435,1266,1720,2504,-1768,-3052,-3322,-2781,-2835,-1882,-6,2280,1704,442,2078,1980,2188,-1328,977,1327,1506,1806,1854,3680,-3204,727
ABalaapaaa	469	0	-1213,-319,-1074,1659,-250,2046,3857,-947,-4076,1395,1821,86,900,1373,2025,662,31
ABalaapaap	-302	0	509,-239,2026,-2464,-2274,4238,1060,1517,-1843,-2759,49,-3620,-1710,1005,-1491,-2537,3405
ABalaapap	72	0	-1187,-708,-414,946,457,1027,1162,-1611,-608,-2065,-3612,1992,-433,265,417,636,-1902,-779,-1442,415,2366,-1835,1921,442,-572,2948,3134,-51,-1700,766,-3225,1023,849,11,-1811,2459,1398,430,2580,-819
ABalaapapa	1629	0	-1499,3333,3071,631,3009,3844,2064,-185,-433,958,-1253,1005,-786,-2569,2401,6487,4405,5365,1108
ABalaapapp	-2	0	2097,-1264,2380,43,2427,2779,-2223,511,-1641,-153,3273,3968,158,-5796,-2059,443,-747,-3742,-496
ABalaapp	-392	0	381,138,1008,-509,19,-172,-2323,-2130,706,-1405,-1930,40,49,-334,-66,-337,-3144,1387,261,-56,-1222,-313,-135,-2525,-1627,3440,413,-594
ABalaappa	344	0	-838,5779,-629,1876,52,1053,-756,-2281,793,769,1953,120,-3160,2759,903,696,3529,-1948,1808,2379,2586,-309,83,-2031,3181,2133,659,-2245,-131,4563,1374,-1535,318,222,-2185,899,-2584,-1552,-2350,-552,-1303
ABalaappaa	1069	0	-7,-461,-1794,-2522,3153,3197,-1214,1414,944,3769,-2620,3039,2451,-2640,-666,309,2391,2825,2489,3720,952,4795
