cell_name	average_expression	binary_call	time_point_expression
ABa	-1781	0	-2190,-1442,-1546,-1946
ABal	-2036	0	-2576,-1585,-2446,-2147,-1805,-2289,-2925,-2792,-1830,-1899,-1577,-1397,-1206
ABala	-2045	0	-2564,-2550,-2417,-1024,-2018,-1981,-1148,-2565,-2870,-3517,-3712,-875,-1546,157
ABalaa	-1320	0	-730,-277,-1934,-1602,-3176,-2598,-2113,-320,-598,-1755,539,-1111,-72,-613,-463,-1463,-2572,-1281,-2712,463,-3328
ABalaaa	-1049	0	-1959,-300,-1453,-452,-1335,-1398,-27,-142,-810,-1458,-1130,-1330,-1857,-710,-1128,-2233,-2262,469,-834,-1059,-420,-1026,-1277,-362,-1744
ABalaaaa	-799	0	-2849,-2016,302,-420,1108,-1673,-448,-3931,-380,-1697,1210,-1693,-736,-385,-1101,2761,-321,-2233,-1166,-1175,-400,-2125,-4045,1225,2379,-2858,-84,-1461,1250,-1955,795,-1856,-2462,1271
ABalaaaal	-636	0	374,-5505,951,-2562,1095,-1954,98,-2140,307,1331,66,-2920,-950,1246,3586,-4636,3,-2880,-2596,1364,2526,-2869,-2314,1287,-1826,1021,-3912,-471,-1309,1243,1256,387,-1667,-2295,1300,2191,711,-911,-3413
ABalaaaala	382	0	1567,-864,434,1650,-2024,1035,-1751,892,1137,909,-1822,1208,2730,49,3809,882,-825,1686,-4225,1170
ABalaaaalp	-552	0	-1367,-2818,561,-2299,597,-4798,-4056,6996,-2874,1265,-395,-132,773,1182,115,-5136,-3876,3078,1404,744
ABalaaaar	21	0	-124,293,3232,-923,-538,-3623,1109,1092,-418,2084,-4456,661,-807,-1381,1067,80,1366,217,-1064,-1530,449,2602,1662,-114,-1938,-1148,-1596,-68,-1995,-891,1895,2069,-1865,910,2545,1398,-279,-202,751,-851,1206
ABalaaaarl	157	0	-570,-2743,2173,-227,2812,-1160,4666,495,-5624,2013,1199,-1793,-1244,-1477,843,2225,-392,1627
ABalaaaarr	-1222	0	-4222,-2059,507,1881,1398,943,-4438,-3413,-4549,1125,-644,-994,2037,769,752,-4191,-3831,-3063
