cell_name	average_expression	binary_call	time_point_expression
AB	-909	0	-1795,-981,-1359,-1437,-749,-699,-1298,70,-210,-635
ABa	-1240	0	-821,229,-1702,-881,-2255,-1995,-1824,-997,-2272,-827,-297
ABal	-1340	0	-1856,-365,-422,-2234,-2174,-1081,-1688,-2661,-2022,-606,-735,-241
ABala	-1083	0	663,-1380,-587,-1400,-1323,-686,-1492,-2520,-1432,-2335,-583,-820,-180
ABalaa	-1184	0	-2405,178,-1315,-1535,-1332,-797,-2434,-1532,-2102,276,-1874,-1051,-627,-1746,-1185,24,-107,-582,-1506,-2023
ABalaaa	-828	0	1141,-1187,-811,187,-1984,-1013,-857,-1304,-247,-418,-2056,-645,897,-740,-1587,-237,-2105,-376,68,-1653,798,-1121,-1361,-3255
ABalaaaa	-786	0	2475,2160,83,-1097,1106,-638,-584,-587,-2427,992,1440,-738,1225,1612,-3017,-1117,-2909,-4031,-2646,-1772,-3532,971,-2106,-1801,-1126,-1277,-597,91,-788,-1489,-2230
ABalaaaal	-753	0	-3097,1362,-3294,2474,-532,-4153,108,-4146,425,-3787,2112,3247,-440,-1946,1196,-1226,-1198,-1156,60,-3361,-2174,-62,-1649,-1894,166,-2115,573,-465,1708,-192,122,-1082,-402,1076,1918,-3538,-2490
ABalaaaala	-111	0	-4990,-749,431,-40,640,-2217,2999,-513,2179,-1786,1144,-1875,-499,207,584,377,-2683,1828,-1120,-2219,225,-3272,771,3238,845,-951,4466,994,-1232
ABalaaaalp	-400	0	-3227,104,-1755,1176,1025,1728,386,-1993,-1643,-2667,-1955,-817,552,-704,-2080,3678,-3843,220,-2287,842,1068,-418,894,-204,405,1307,-1231,-467,297
ABalaaaar	-73	0	3592,648,3406,2055,-731,-1423,390,993,694,-991,-1893,-476,625,-38,-1495,-1202,1471,1103,-435,1436,-1679,-1139,-2997,2598,2864,1512,-1527,-2087,-2375,-2493,355,-1632,984,-654,-884,-3300,662,188,844,104
ABalaaaarl	180	0	2446,-2843,602,303,215,-1140,-338,1973,-1396,1522,1323,-2016,-925,-1278,-4403,-1108,2443,-108,1836,3200,2013,958,1450,-1874,977,846
ABalaaaarr	-476	0	-208,611,705,139,3627,-274,-3134,433,133,-1065,3422,-864,1666,-3643,2520,-564,-1483,-1475,844,-4108,-4098,-1643,-176,-1632,-904,-1217
ABalaaap	-723	0	-260,-167,-1245,-2526,-1261,-2025,-507,-735,-60,772,-408,-324,-99,28,2068,-256,-4486,1731,-2155,-502,-867,-2908,-1148,584,-1804,-1272,298
ABalaaapa	-1004	0	749,-137,-607,-4195,3134,-763,-379,1390,-436,235,-1719,-262,-6572,-2798,-2864,-1137,-437,-4293,-2167,528,-1284,-4711,724,892,1567,-919,-3233,-3988,-879,-1437,-2037,-1359,1308,-1109,-614,14,-1414,3059
ABalaaapal	831	0	3553,89,-194,1935,1389,1007,-1753,567,-962,175,4317,1893,-270,260,751,388,-1908,467,-415,-1572,1878,2291,-178,2973,115,3313,990,-1339,185,1855,574,4220
ABalaaapar	72	0	-2315,3467,-522,-1931,-1551,-1543,-3147,-2235,463,-2489,1563,1215,3622,2196,-472,1537,2191,-573,6098,1414,-35,823,-1234,2226,2283,905,-2053,-2215,-2794,-1783,-831,15
ABalaaapp	-744	0	-127,-643,691,-4789,-1224,-795,-799,-2421,1576,-994,701,-2826,-138,472,163,1478,-2567,-93,520,-1800,-3159,99,1630,-2096,-32,696,-468,-1989,-3021,-2423,-605,-527,670,-469,-746
