cell_name	average_expression	binary_call	time_point_expression
AB	-881	0	-1003,-1571,-1225,-183,-425
ABa	-838	0	229,-772,-152,-1311,-791,-261,-195,-539,-2443,-1488,-1495
ABal	-1366	0	-927,-897,-2488,-591,-1541,-1312,-1706,-1256,-1913,-1555,-841
ABala	-1227	0	-2452,846,-585,-495,-1007,-1569,-2504,-1043,-1933,-1116,-1757,-1428,-957,-1182
ABalaa	-1844	0	-1694,-1384,-2131,-2473,-1000,-3253,-1958,-2269,-814,-3812,-2600,-2685,-298,-1750,-1538,-2623,-763,-2353,367
ABalaaa	-1102	0	-461,-728,381,-1025,-1926,-1134,-2247,807,-599,-1586,-1628,-2047,-1977,-1147,-303,-3003,-1474,-1453,-385,-315,-2340,357
ABalaaaa	-492	0	-2799,-136,172,-1009,-2021,-280,-356,-186,666,-162,297,-805,3248,-3374,-373,-94,349,-383,-348,-799,52,-509,-759,-466,328,-2010,-1698,-710,-115
ABalaaaal	-410	0	-1500,1220,1654,456,1856,623,-354,-2006,-1075,-2540,466,-1345,-1713,-1022,1138,-502,1288,-2389,-2565,984,1610,138,-324,-717,-1565,738,-1122,-2602,-1529,1118,629,-957,-1635
ABalaaaala	-755	0	3858,-5043,154,-627,-1457,-2586,-2840,573,2609,-513,-1026,-1863,-1462,2390,2822,-680,-1909,-1701,-5075,1531,-1017,1916,-1287,-1994,-1569,-2830
ABalaaaalp	-530	0	-879,-191,-1336,-2562,-1390,-336,-3371,-947,-1289,-2174,-281,-983,-13,-3590,551,-218,-2413,1715,1233,-947,-1034,4497,260,505,1553,-153
ABalaaaar	-743	0	-3362,-213,575,-1070,639,-225,187,543,-728,-2031,795,-140,1481,587,-412,-2137,7,-226,195,-1137,-176,3605,1073,270,-3601,-500,-4193,-1884,-3320,-1702,-2895,-233,-36,-515,-4602,-1381
ABalaaaarl	-542	0	-143,-912,-1596,558,184,-970,-3593,1434,2261,-2095,-748,-3213,-2306,-3045,1329,-1269,1463,-1912,256,-1307,1094,1036,1030
ABalaaaarr	-693	0	-160,-156,644,646,-1370,-3475,-2029,-2761,-2126,-1762,961,-1114,-1382,-2613,-2756,-2682,3627,695,1574,-720,598,183,228
ABalaaap	-1726	0	-1062,-2776,-895,-818,-1608,-283,-3389,-752,-105,-2022,-2338,-3262,-1634,-1511,-3539,-1659,-2075,-474,-1607,-2187,-3014,-3022,-1653,-2391,-2136,1326
ABalaaapa	-640	0	-628,-3509,-1605,-52,-2898,-1599,-2438,-313,264,-1275,333,1131,-2113,461,-1923,950,-546,1518,951,-551,-1658,-1779,-2181,-402,-377,240,-975,-303,-281,-864,1358,584
ABalaaapal	-337	0	-939,-55,2470,736,3234,2808,-4869,2251,-1006,706,-2155,-2235,2534,-222,-360,-2008,-2677,616,-867,-1371,-3273,-341,182,506,-3766,994,-1914,-800,1615,92
ABalaaapar	-454	0	309,-818,-2535,2093,-599,-4452,1848,-1576,-803,-822,-261,-2545,-931,-5,-3540,-234,316,51,3259,2163,1608,954,-2379,-2934,1369,-2714,566,-3981,3055,-80
ABalaaapp	-582	0	1639,588,-2718,-2122,2947,-2298,-954,174,-1889,-4349,-247,577,2866,-2459,904,-227,195,-3376,1442,615,-2660,877,-281,-163,-1324,-310,-3879,-3208,17,-764,-1469,3532,-1593,124
ABalaaappl	-57	0	-1591,-604,-4159,4460,1254,-1184,1085,-4180,-562,716,-2724,-250,376,-309,-944,156,121,-1107,-1337,2845,2073,1048,1097,636,-485,1635,-785,1115
ABalaaappr	-354	0	1518,-586,651,-1544,-3584,3854,1624,-378,-3949,1728,-1336,-27,1093,2737,-2070,-2136,-2607,1157,-1876,-2401,-524,-158,-273,132,-2445,2851,-667,-699
ABalaap	-1749	0	-848,-270,-3921,-2148,-1281,-226,-2253,-1540,-2297,-2146,-1406,-3018,-738,-2464,-2241,-2263,-1794,-2091,-1324,-2634,-2439,861
ABalaapa	-1137	0	-2189,288,-1912,-935,1097,-162,-1091,-1022,-4545,-2135,-2987,-1508,-2079,-521,-2670,165,-2094,-898,-2851,-1256,-1464,122,-151,-1404,432,-778,-445,1910,-1898
ABalaapaa	-1033	0	-1014,-2333,-1408,-136,-1479,365,447,-679,-369,-908,-1862,1623,-2642,-125,2300,-2235,-2230,-420,-2480,-2628,-188,618,-2177,-990,-826,-1159,-2853,-1694,-1044,-703,-325,-3204,-1117,-1702,-3072,663,-226
