cell_name	average_expression	binary_call	time_point_expression
AB	-835	0	-2374,1129,-1643,-1549,-642,-2617,-295,-1181,282,128,-1025,-235
ABa	-1017	0	1073,-1246,230,-341,-797,-1485,-1597,-1545,-1632,-1368,-2477
ABal	-1763	0	644,-3124,-862,-1531,-2100,-1435,-2672,-2410,-2178,-2099,-2092,-1746,-1319
ABala	-1043	0	-2744,-759,-1594,-1087,7,-694,-464,-768,-1573,-1045,-588,-1181,-109,-364,-2678
ABalaa	-383	0	-1353,-633,-418,-628,453,-36,206,203,837,-101,-826,-282,-1151,-473,-356,-668,-1495,-937,-400,-258,276
ABalaaa	-565	0	1215,220,-3499,-1052,807,323,-569,-772,432,149,-2299,284,-994,-2235,-553,-835,653,497,-1985,-1048,-310,-99,-772,-1109
ABalaaaa	-183	0	107,2044,871,-703,1567,948,1382,481,-651,893,-3961,-974,-472,-711,1733,-1444,-1838,-1096,-267,-925,-1220,-14,536,-1603,673,903,694,-757,-435,475,480,-2558
ABalaaaal	-1160	0	-3152,2426,-694,-214,-1087,-3048,-2688,-111,-3527,-3188,-2738,-1107,-1626,-4082,-615,-503,-3679,-3236,-915,1108,-1294,347,1406,-1704,-633,-828,115,-1929,-569,972,-1661,-1159,-1224,-1059,2658,-2517
ABalaaaala	-120	0	-2055,-5427,425,-927,1085,1311,-2549,589,141,-624,-3157,-660,-464,256,2894,614,1816,109,-551,2102,168,1885,702,-558
ABalaaaalp	-584	0	589,-3692,-1586,387,-2489,-1246,2011,-877,-5784,1058,-1078,-1750,-1636,1026,-2979,630,-1348,3283,600,-1028,981,355,599,-51
ABalaaaar	-383	0	-2597,2607,-1932,284,-941,-651,1549,-162,1223,-3415,3026,937,-1676,1693,-1379,52,-2930,-2602,266,1082,317,-2504,-763,-1702,311,2803,450,-1562,1851,-2602,728,-398,-1265,-2291,2306,34,-3820,1237,-2506
ABalaaaarl	-312	0	-2510,-800,231,-2046,-1247,855,-1458,1587,1364,-545,-1142,262,-2427,-281,2061,-1616,921,1126,1442,-2983,657
