cell_name	average_expression	binary_call	time_point_expression
ABa	-1094	0	-848,-819,-1883,-1109,-1927,-1253,77,-987
ABal	-1595	0	-1880,-544,-2041,-1299,-1517,-1634,-1244,-1523,-1814,-2480,-1355,-1808
ABala	-1857	0	-1083,-2542,-2333,-1230,-1559,-1303,-2061,-1121,-2585,-1537,-2332,-1776,-2682
ABalaa	-1974	0	-1168,-2464,-3118,-8,-1565,-1468,-2461,-877,-2292,-2622,-2266,-1886,-938,-2568,-1597,-3226,-1817,-2649,-1691,-2808
ABalaaa	-1294	0	-3211,-2524,-1048,-3057,25,-337,-989,-1474,-366,-2317,-1729,-574,-1586,-839,-623,-29,-615,-537,-697,-375,-3596,-3878,-1323,586,-1240
ABalaaaa	-803	0	62,1506,534,-525,-5098,-2556,-982,-1148,265,-392,-550,-1149,-1731,-939,-520,-1306,-1201,-991,-2567,368,-766,-146,-2047,-1315,-651,-3071,-478,241,1118,1208,-64
ABalaaaal	-485	0	-768,-719,-1100,1141,-1944,-2297,1595,171,-1048,-1929,828,187,-993,-1855,-841,2013,-166,-3015,-512,338,-899,-746,-832,-1857,-1123,933,2067,-252,-2004,1017,780,-1527,-1907,1749,706,-2666
ABalaaaala	-66	0	-730,-1912,308,-166,-9,-747,2532,1809,4167,-1073,-1936,-2503,574,-2479,14,1370,2821,-828,-651,-1887
ABalaaaalp	-1252	0	-5119,-2424,-1597,1045,-816,1271,1611,-4581,3074,-590,-1786,1976,-2061,-2703,-539,-2122,386,-4083,-2550,-3434
ABalaaaar	-465	0	-611,-1009,-1310,215,-662,-677,-679,-310,424,-1605,-2385,2406,-721,-849,-3555,2079,-3032,-1378,619,2548,1267,869,-371,-625,71,117,-1194,-1881,-876,-2091,-1171,556,99,-269,-1580,-362,721
ABalaaaarl	95	0	-3935,882,-2874,2604,2758,-1862,-547,1188,1412,-1271,-1013,-931,1670,228,-2902,93,2706,1845,1746
ABalaaaarr	271	0	-1010,1339,-331,699,3559,-2035,1733,2996,1769,-1578,648,1600,-1921,-2453,32,812,-1891,119,1055
ABalaaap	-1341	0	-1077,-3702,-93,158,-2248,-1099,-1159,1219,-4078,-2992,-528,-631,-1212,-1447,-4190,-2167,-1022,-2218,-2439,-1591,465,-858,179,140,-984,-1284
ABalaaapa	-483	0	380,-1941,2395,4156,-17,2587,-801,-733,330,-1523,3255,-1623,1202,690,-1516,-1627,-1782,386,-2163,2096,-2759,-56,-2286,-694,-1164,1038,389,-2077,-376,-408,-2241,-3105,-2311,394,-1509,-3983
ABalaaapal	-169	0	-577,-472,-47,334,-2402,131,-1223,-342,-2908,73,675,-3562,1470,966,401,1722,-641,765,-525,-2026,1376,3441,598,-419,-1040
ABalaaapar	170	0	1326,52,2351,-127,4397,-102,1031,1121,-1181,-3918,-1984,-4096,-1070,2202,-327,3564,3936,-219,-2003,943,-3226,899,587,1380,-1292
ABalaaapp	-721	0	1653,-1030,-2472,-2634,-489,-1980,-2141,-2559,-945,-2049,482,-2420,1521,-932,595,1442,-1298,-538,-2151,760,-4039,-799,772,-817,-82,-2688,479,-1179,-915,-233,-795,-1108,398,-488,736,1992
ABalaaappl	-44	0	-971,1604,-1978,-1573,-2271,1228,-1131,635,1868,-1713,-721,2719,5159,1012,3396,-2221,-1314,-5043,-4596,-304,-1793,3170,2923,364,443
ABalaaappr	-951	0	-637,-1547,1114,-3027,3119,1001,1425,251,-1259,405,-2546,-2125,-3019,-2957,-1858,1079,-2019,-1443,-8,-633,877,-4333,-802,-2514,-2326
ABalaap	-2006	0	-3801,-2823,-632,-571,-1801,-909,-2328,-320,-728,-3236,-3293,-2405,-2046,-2135,-1477,-3683,-3595,-1621,-1790,-1742,-1716,-1421,-3063,-2530,-1953,-546
ABalaapa	-1772	0	-1822,-3162,-396,-4398,-1778,-1356,-3432,-738,-2308,-2121,-3413,1209,-1760,-261,-4292,-4446,-166,92,-2458,-763,-3226,-408,-618,1064,-3154,18,-3850,-2861,-907,-1451
ABalaapaa	-191	0	-1916,-532,-496,-312,353,-1154,-250,-509,673,-724,1928,1275,603,-244,1595,-1353,401,2268,-291,-921,-635,1530,307,-430,707,-1438,607,-2051,-2542,-1540,-1919,620,-5301,3197,-1761,342,1455,1891,-887
ABalaapaaa	-28	0	-2276,-231,1690,-1824,1437,983,-316,-1727,-732,-1085,-2284,1630,1888,-2428,2363,873,1570
ABalaapaap	-994	0	-1498,-1796,659,-966,-4792,-3260,-307,725,-3137,237,-1815,37,2307,-1710,-1704,830,-714
ABalaapap	-968	0	9,-1183,-781,-1373,-2756,-76,-1415,-1036,377,-693,3366,334,-2070,-720,-365,-1087,520,-597,2042,-2814,-1536,-2048,-1719,-1959,1375,-24,-779,-3574,-1221,-3157,-3160,-1323,-874,-2594
ABalaapapa	-556	0	-1355,-1884,-4693,-3182,2395,1120,2618,931,-2840,627,605,-630,-1328,-1334,291,1372,-1545,-4045,501,1709,1693,-3247
ABalaapapp	144	0	109,-3136,-650,-2220,-211,2616,-3374,1274,2504,630,-158,584,-1253,291,2823,-596,1298,932,-804,-3035,3524,2012
ABalaapp	-1678	0	-1937,-1260,-1464,-2118,-442,-3314,-1053,444,-2253,-3081,2302,-2427,-2611,-368,-4172,-710,-2122,-4053,-762,-2558,-105,-404,-2838,-3636,-2138,-541
ABalaappa	-1242	0	-2873,-467,-74,-655,147,814,-528,-2901,-348,-652,-1736,-3248,-426,-2081,-2130,-936,-3489,1199,-1169,-2774,-3028,-3900,1241,-1609,-275,-2131,78,-3111,-820,-732,-952,-2047,-2318,32,-2507,-88,-2196,1511
ABalaappaa	-185	0	623,-660,1782,-1543,28,-836,181,-2725,-1141,-6989,-5270,1859,-3781,72,-2434,-3312,-717,6143,-1135,6627,3912,5252
ABalaappap	775	0	-6219,6075,-1054,2259,3460,1261,2468,-2202,-670,-1612,3268,-279,167,-711,323,3619,-110,-2371,3474,1855,3195,847
ABalaappp	-393	0	-890,-1268,5871,-1195,-1644,-366,-1944,-3468,940,-2177,-2547,765,307,-1723,-734,-830,-1471,326,2201,806,1702,385,-1522,-90,-1851,-1285,510,-2080,519,-942,389,742
ABalaapppa	-445	0	785,-3049,-2892,3958,-2866,1045,1632,-551,-3246,915,-2480,2151,1063,-1513,2041,-2144,-98,2913,-655,-1131,-2154,2216,-3322,-1030,1745,-1180,-2837,-1773
ABalaapppp	-991	0	16,9,2294,611,-847,2006,516,712,-1467,-2450,-1153,-1144,1458,-1166,-2682,-6425,-1380,-2872,-2994,-1737,-4943,264,-4179,133,-4728,1022,1080,2290
ABalap	-1058	0	199,83,-1662,-1035,-1381,-982,-1184,-857,-792,-1350,-2082,-2371,-1091,-563,-568,-471,-2052,-1658,-2539,1204
ABalapa	-1104	0	1708,1753,-1206,-2090,-85,-854,-625,-530,-1455,-2979,-1992,-690,-2038,-2475,-719,-693,893,-3422,-1221,-1762,-2711
ABalapaa	-575	0	-16,-509,-317,-307,-812,-1752,-829,811,808,-796,71,2271,-1062,327,786,-2653,-1705,-2085,-2190,-892,-1801,-633,-1733,-440,-387,489,-158
ABalapaaa	-759	0	-4231,-2969,607,-3143,-2284,25,1056,1488,-5706,-489,-1965,559,-295,1797,-3774,2832,-1538,-866,1324,-1927,-3259,-696,-2052,1532,-2231,-2352,2750,352,824,2348,909,60,673,-5027,-893
ABalapaaaa	-257	0	26,-259,-2212,3461,-2383,-2478,-1200,-463,3817,370,1561,2460,-1665,-1533,-917,-1125,-1656,324,-790,-804,1149,-2307,1579,-568,820,-1209,1411,-2159,-689
ABalapaaap	162	0	562,1145,338,-1173,-3566,2051,952,1828,2287,-3262,1572,-1629,2269,3547,3317,-1595,1309,-369,-1209,3038,2452,323,-3646,-786,-581,-1212,1145,-662,-3753
ABalapaap	-791	0	-3177,-647,-762,221,-1981,283,1949,-1414,-1968,61,-1530,262,1505,-284,997,1969,1268,-5123,-8,-1419,-2159,-505,-1183,-1674,-4727,-172,1347,-2727,-2113,-2748,1137,-4153,1187,-38,-946,798
ABalapaapa	-684	0	1759,438,1334,-1391,1233,-2145,-1843,-3797,-1736,-2239,-3268,1511,608,-2826,-1723,-2494,1472,-2248,-400,2801,272,-2955,-522,-2038,-1185,3279,337,-1375
ABalapaapp	-1422	0	-3534,630,-2258,-1861,-1153,448,2881,-4528,1704,133,1121,-3440,-3771,-1453,-2804,-2593,-1975,800,2250,-2274,-2120,-3251,46,-3209,-2993,-2345,-2385,-1887
ABalapap	-637	0	62,-94,-2069,-471,-109,-610,-2079,-1861,-615,1591,-1182,-2045,225,867,-1897,119,-403,-1093,-1781,944,-75,-1399,-345,-977
ABalapapa	-513	0	1731,-1796,1104,952,518,17,312,-865,-3282,-1351,-609,-91,-665,-1382,301,625,1907,-1182,-156,-178,-643,-497,-2081,-1557,-109,-2144,-2408,-1863,577,1080,-1290,2231,-902,-251,-4000
ABalapapaa	-205	0	-1165,1955,-2981,-205,-1192,1893,812,-3871,5659,-4195,-3631,1288,-907,3735,-1384,1061,1989,513,1626,-3010,1642,-1359,-3478,-194,757,-132,2317,-151,464,-714,-4920,1230
ABalapapap	-515	0	-2680,-1688,-6350,-1132,331,636,2159,-839,-293,1111,2873,-97,948,-2407,423,55,-1720,-1715,1073,962,999,-1031,1021,-6051,-823,821,203,-1545,-2713,2447,1041,-2511
