cell_name	average_expression	binary_call	time_point_expression
ABa	-1062	0	-26,-546,-1099,-1218,-1697,-1467,-2125,-1433,-971,-34
ABal	-1320	0	-944,-360,-1048,-516,-2122,-1375,-1567,-884,-2316,-1822,-1565
ABala	-1661	0	-778,-1581,-604,-1884,-3081,-1872,-1576,-1392,-2792,-1612,-749,-1555,-2123
ABalaa	-714	0	-1216,-1539,-1526,-464,-1509,-1676,-1398,-234,-731,-797,-177,-1062,-500,1008,195,-1072,237,468,-1578
ABalaaa	73	0	-894,-3517,-1512,-1826,297,1277,682,1096,-832,1947,-277,1418,313,964,1973,1517,-324,285,207,1275,-1634,-1073,314
ABalaaaa	-479	0	1067,-329,-3860,-725,-40,755,-2941,3687,2430,756,936,138,-1626,-4210,-375,326,1614,-3030,-119,-881,-999,-982,408,-1970,-1456,-629,-664,-1029,161,-783
ABalaaaal	-274	0	994,2037,-4352,-985,1892,-1678,-683,366,2691,1196,1406,-4379,-1113,-979,837,1938,-448,1794,461,-1411,-3008,812,432,-1693,-1546,-485,-841,-1290,464,-1961,919,-3063,2647
ABalaaaala	-280	0	-2343,-2163,-1777,2456,5363,-3318,-2000,-980,108,2620,202,-923,-1724,-600,1029,-2945,743,3436,465,-2864,-661
ABalaaaalp	1042	0	1752,578,3719,617,-945,1741,239,-1407,-665,1577,2411,4563,2255,3315,-1986,485,1120,-2356,5106,-285,58
ABalaaaar	-258	0	2606,284,412,1197,85,-320,-1179,-1015,-2989,-1348,-836,-589,-2416,-221,-230,-2901,1915,-459,95,-15,320,1119,2113,-2787,1335,118,277,442,-704,-1692,-1390,899,337,-1054,-455
ABalaaaarl	-186	0	1473,-3084,-1153,-588,-1908,-584,-1073,356,558,1107,-676,855,-1267,-1179,2625,-1667,1823,594,256
ABalaaaarr	432	0	-835,6152,1348,874,139,-1440,-712,-1523,-103,2463,2509,985,-2405,155,-206,2327,-1132,-1424,1029
ABalaaap	5	0	-2947,-447,232,728,356,-302,-573,1214,1615,1892,689,2112,489,-312,-1100,-923,305,-1308,-397,807,168,531,565,83,-3343
ABalaaapa	-463	0	-488,-412,1218,-1,-831,-2059,-1560,765,689,-807,948,-1263,-749,512,-4237,-930,-1528,356,-1829,2022,3,952,-1227,-1721,73,-787,-1270,2133,-1318,-2327,-1575,885,-560,491,216
ABalaaapal	-522	0	-719,2043,-505,-756,-1146,-728,-1650,-1173,-1560,-1221,1498,1162,-2846,-2786,-1728,1528,-1880,-2314,-3072,2394,1220,1559,-1500,1659
ABalaaapar	271	0	-1847,-1217,1354,2638,-1332,-711,-1255,1433,2875,-806,-2108,2881,550,-357,2216,654,-2244,2307,523,1636,-274,-2607,-34,2231
ABalaaapp	-1045	0	72,1170,-1694,-3906,1400,-3331,136,-335,-1241,-159,-1253,3101,2252,1524,-530,-2587,-299,-2389,-570,-1145,-2177,-1808,-1266,-3285,-1716,-668,-1841,757,-4185,1746,-5224,-2718,-2319
ABalaaappl	-417	0	3189,2030,3463,-2514,1371,-4712,-1992,-3425,1227,-359,-1443,-1912,1741,-1547,1663,2252,464,-305,-3201,-1,-2125,-532,-2412,1363,1562,-4684
