cell_name	average_expression	binary_call	time_point_expression
AB	-342	0	-193,-249,-405,-523
ABa	-705	0	-547,-248,-310,-919,147,-1905,-60,-1829,-336,-1040
ABal	-806	0	392,104,-2319,-621,-1278,-370,-1617,136,-1722,-1206,-880,-287
ABala	-1038	0	1890,-2099,-504,-1560,-1369,-481,-985,-1522,-1104,-1066,-1575,-1735,-1379
ABalaa	-1164	0	210,-733,-695,-1477,-650,-1230,-456,-1922,-1396,-1078,-1603,-641,-1022,-982,-1429,-1392,-2429,-1216,-1973
ABalaaa	-899	0	-1038,-1676,105,41,-550,-1069,-1729,524,-1212,721,-2621,-359,-1599,-941,567,-1251,-981,-2314,-1218,-1626,398,-1954
ABalaaaa	-1065	0	-2252,-544,2041,-1715,-1269,46,279,-1757,1065,-524,431,-2545,-1027,-2453,28,-1586,-2246,-3004,-3181,-70,-1677,-2788,-1940,690,-1561,-566,-2072,735,-1419
ABalaaaal	-1297	0	-2808,-4346,1289,-678,838,-1230,438,2089,-3655,-1366,280,602,50,-1405,-2426,-510,-1082,-1809,-2375,-2240,-1716,-2573,-1027,-3450,-1487,-2286,1725,-1290,-3384,-2137,-322,-2816,-1709
ABalaaaala	-569	0	231,258,-2398,136,-66,1982,1944,-342,-1600,-3093,-772,-3562,-128,184,3225,-4325,-2413,-3242,2039,-2152,1123,-1147,-2337,566,1386,-2654,-515,1752
ABalaaaalp	-996	0	47,-2453,-1643,-1314,-2306,2637,899,-215,773,-888,-1272,-2091,-92,-2480,-1684,-1584,-962,-3429,-902,-101,-3833,90,-1880,-2201,1166,-4249,2305,-221
ABalaaaar	-1432	0	-3937,1279,-1336,1200,-1768,-811,939,-3400,4685,-2584,-2798,-3731,-988,-1415,-192,1961,-1127,-2129,-1282,-1741,246,234,153,-4139,-2099,506,-3659,2374,-7095,-5265,-1537,-2918,-2073,-1407,-4259
ABalaaaarl	-1672	0	-2713,-3640,-3108,1598,1330,2553,-3638,411,-3778,-324,-3162,-6658,-3490,-2188,-314,-150,-6498,23,-2163,-2268,-1080,-1475,-2160,3154,-64,-3669
ABalaaaarr	-1835	0	840,3637,-997,-2340,-5252,285,-2517,-1700,-9133,-5497,-4928,111,-3133,-375,-20,-1939,-6154,530,-2526,1105,-3805,3834,-3962,-4050,2504,-2219
ABalaaap	-640	0	-1724,-1168,2965,-465,-1009,551,811,-311,46,-575,-979,-1805,-2924,-661,79,-949,-3134,834,44,293,-1157,1096,-2341,262,-3081,-1350
ABalaaapa	-681	0	1327,-772,-1954,-1462,256,1116,-1812,897,-1538,-2492,-2653,450,-3651,1216,-589,848,-692,-232,614,-1640,-2372,445,-1984,-1159,2919,-1085,-1746,-593,1390,-2531,767,-1185,-1457,-2527,45
ABalaaapal	-150	0	-1699,-1176,-543,-1223,-1501,1650,-494,-534,1119,-466,1812,398,2772,637,6624,1199,1701,-1530,-2183,438,1087,-1111,1286,-3254,49,652,-2758,-1663,-5639
ABalaaapar	-401	0	2112,-396,-3032,-746,-2575,-198,1648,220,-718,-3993,3378,1324,2502,-2618,-1169,-974,-892,1958,416,-3029,-2644,-210,-1719,-418,2609,680,1606,-1359,-3389
