cell_name	average_expression	binary_call	time_point_expression
AB	-312	0	416,-101,-71,-1169,-574,187,-1254,-518,381,-270,-457
ABa	-914	0	-745,-828,-170,-1316,-1362,-1176,-1433,-1004,-548,-630,-844
ABal	-964	0	-454,-300,-770,-1174,-1385,-882,-2074,22,-1208,-952,-935,-1453
ABala	-1276	0	-1062,-302,138,-1217,-1837,-148,-1455,-1936,-1639,-1027,-1598,-2233,-2267
ABalaa	-925	0	-2552,553,-1383,522,-173,-1673,416,376,-3124,197,-1168,-1693,-2339,-773,-962,-74,-1332,794,-2247,-1868
ABalaaa	-953	0	-127,-995,-355,-696,-1661,670,-1561,1678,-1513,-405,-1366,-2815,-1275,-1947,-1902,-769,-843,-68,-872,-1270,-1428,-1448
ABalaaaa	-487	0	-3076,483,385,-1370,-79,-1882,785,367,-681,-264,-1727,148,-1123,113,-1533,828,-1713,-503,-1181,1868,-1232,-1671,-3304,641,-51,65,390,763,478,-653,-371
ABalaaaal	-454	0	1091,-3098,-986,1177,-1474,-1423,-164,-2318,-3592,-1579,-168,-460,-624,-1597,-391,-210,-1366,-2007,-369,653,-960,1921,-1723,3825,-650,1969,-929,-992,-748,-588,-337,-1050,1143,-289,-2344,2834,231,343
ABalaaaala	-552	0	-1567,1146,-4923,-4115,-5128,-2108,90,2701,3074,-250,-2431,1963,465,-18,966,-1892,476,1155,1086,-1724
ABalaaaalp	-63	0	2129,21,-2804,2737,3652,1110,1499,-902,-164,-4681,2291,570,-2501,379,-4147,-1747,2430,-1436,-1338,1645
ABalaaaar	-449	0	2111,1234,-1663,735,-829,-3862,-28,-3464,935,-542,749,-1757,388,786,744,-1397,1190,-1096,-1116,-403,-652,-1532,-285,1108,-1545,-1193,-2890,-1031,201,1693,1275,828,-1206,-1176,-1706,-541,-684
ABalaaaarl	-251	0	-3726,3342,3185,427,-188,-473,3555,-1397,1335,-966,-1034,-381,1355,-855,-97,-3240,-1624,-3535,-886,-291,215
ABalaaaarr	-86	0	-4297,-469,-1670,1919,705,2457,1803,-723,-91,-2217,-3962,-1497,-589,-366,3159,2332,2882,-1206,-100,549,-434
ABalaaap	-721	0	563,310,-3638,-189,-691,-2267,-2179,-2150,734,-1146,-1181,-259,-1126,-1892,-2085,-2530,353,986,443,-958,63,-970,-2015,790,1316,417,-178
ABalaaapa	-237	0	1548,1249,-106,-1297,889,14,-232,-732,1402,502,459,396,2932,-2303,-1334,-184,240,-195,-2249,-2745,-1813,-206,862,-726,-1068,-397,-2767,-1169,2008,1763,-387,73,683,-811,-2601
ABalaaapal	-687	0	343,-586,-1752,-4503,2327,-2141,-3004,-1119,826,-1101,2903,1305,-828,-1378,-1742,-2921,-1927,-3372,-196,-228,1353,411,-1807,2405,-1888,-2646,2710
ABalaaapar	31	0	-806,4020,3890,3323,1638,-1349,-1656,1307,-325,-1651,4187,-5611,2565,-1299,557,-4646,-334,-2057,-753,-92,4254,-1938,2040,-324,-2096,-1720,-294
ABalaaapp	-418	0	847,1641,50,24,-179,-671,2177,-3492,2018,289,-1669,-1769,-2266,-171,-645,1225,-1560,1081,-1042,829,-897,-870,-1601,-644,-4148,-1643,-579,2848,1100,-462,-790,-1602,-1220
ABalaaappl	-59	0	-977,-2018,-1412,-384,1529,1066,544,1620,-2747,3007,-254,1242,1250,1659,-1851,-4011,690,-1180,-296,-312,882,459,971,536,309,1771,-1494,-3418,1099
ABalaaappr	-446	0	-268,-1448,477,-1595,1630,1058,527,-609,-2245,-2781,3327,2976,545,1164,-469,-2873,-266,-1801,-567,-2512,-1986,2760,1415,-2625,91,-2756,-952,-1812,-1336
ABalaap	-1171	0	135,-1533,71,-2450,784,-1170,-2276,-541,-676,-1144,-1722,-1181,-1574,-1383,-1335,-618,-1869,-2028,-2338,-1572,-3804,2284,-994
ABalaapa	-625	0	-3021,110,826,-2026,-849,281,-740,-490,-1826,-3210,-821,936,390,-781,-1489,-2146,-2965,-722,-215,-1480,416,187,442,-164,895,-1218,717,-384,-533,1130
ABalaapaa	-505	0	110,-4106,-345,156,-1707,-86,73,4644,1696,1219,-2391,-1785,-2008,-66,-2341,-3092,-68,421,-1469,-1890,-2836,-694,-1032,-2342,291,-113,1691,26,608,1923,-863,118,-1018,-729,-622,-2477,-1891,1033,2265
ABalaapaaa	945	0	1531,2606,1868,-1179,-4399,341,4034,-214,201,4584,288,2055,523,2448,1969,-2783,508,1767,1813
ABalaapaap	17	0	547,-395,-1586,-2067,-1255,-1459,-3308,805,-686,-626,-960,2521,-327,2327,1201,3953,-303,1062,879
ABalaapap	-350	0	-297,191,-892,-309,1210,-2939,3665,-1531,-265,-980,-2114,-1967,956,1589,-5805,-2398,1634,2087,-2034,-1593,-2279,-2002,-263,1435,2978,1495,-787,1920,-1046,343,-4363,1670,2021,139,-2147,2883,-659,-1228,-1957
ABalaapapa	159	0	3001,-31,-129,4211,-513,-3954,-4653,86,-1503,-1539,-2131,2886,2872,3154,-2791,-863,1748,739,2435
ABalaapapp	-187	0	-1191,-148,-182,584,893,-1575,1387,-1077,420,-56,-994,-1968,2297,575,-137,-632,-1818,1132,-1064
ABalaapp	-738	0	-3426,-241,-198,20,-720,-1985,-2135,-629,2766,-1064,-424,-1607,-2344,-597,-112,-53,377,754,-261,-1909,127,-1466,-687,1211,-1974,-2205,-63,-1832
ABalaappa	-62	0	1871,967,50,-1630,-3684,2424,497,-177,-614,1932,2155,-457,1272,1970,-3489,827,367,-1383,-317,822,-2522,1269,-2159,-2635,859,-2693,-1562,1333,738,513,-808,1180,1767,752,-1033,1983,-2075,-97,-639
ABalaappaa	-55	0	-2375,39,314,629,-1983,-1797,985,2380,-190,-123,-133,520,-1069,-2520,1163,-6090,-1297,7246,-1055,2275,1926
ABalaappap	-623	0	-2285,701,-230,-3275,-1760,-940,999,1744,809,-1351,-530,-401,-741,-909,1705,312,13,-677,-1743,1455,-5983
ABalaappp	-169	0	-342,1990,1163,-4362,-1198,-1731,97,-73,-214,1108,111,2324,867,-891,2848,-835,699,-315,1099,-3835,-1596,1747,1298,-1897,-2755,2348,926,-1609,-426,-1955,345,-781,267
ABalaapppa	470	0	1125,-964,279,3623,2444,403,-415,3339,-1527,-781,4732,-1621,173,-3177,-699,-2750,186,1161,-1100,1540,-151,4219,-1445,65,-234,1150,3105
ABalaapppp	-1208	0	-2323,-2223,-5132,1470,-665,-464,-7,-1610,-1954,-1368,-1731,-669,-918,-628,-31,-1828,-1211,-4071,-3563,1457,-3050,1970,209,-1395,-714,-1523,-638
ABalap	-799	0	-714,436,299,243,219,-1994,21,-1071,-483,-1277,-1005,-1221,-2380,-626,741,-1840,-2708,-1297,-522
ABalapa	-759	0	-1341,58,-878,-966,-1397,417,-1449,-235,114,-850,-1225,162,-2047,-936,-549,-671,-1855,-136,-1786,-1185,-332,381
ABalapaa	-160	0	-1341,-813,-967,-1567,1315,-21,-1153,-218,595,39,56,-3899,1216,928,-604,-227,-61,-530,-984,1602,-355,1287,833,950,-2478,576,1439,-97
ABalapaaa	-436	0	3455,-564,-560,-1621,-3060,1082,-611,-1535,-1886,-997,-3878,-2544,-1871,-652,-115,-532,-1613,-1826,745,-471,218,-719,1554,1106,-74,1970,-1791,1122,1445,-211,-3221,-282,2178,2870,42,62,-3346
ABalapaaaa	-736	0	1340,-483,-21,2954,-1325,-412,-2723,-5338,-2854,-1857,-371,-2164,3306,-94,-1679,433,-3387,1455,-2428,-1204,-34,-1404,2342,-964,-1494
ABalapaaap	-77	0	-1630,405,-313,2669,-496,-2390,-934,-764,2037,-950,-637,303,-2159,-2200,780,-1474,220,-1486,2594,658,-1984,2412,958,1331,1135
ABalapaap	-391	0	-280,1577,-1986,252,1175,-1415,-266,-1462,38,-2181,-2865,-293,-2748,2980,99,528,-629,-1172,1307,-1332,948,-662,-3194,-1670,2302,930,-1713,1702,-682,-2354,-1531,1647,504,-1320,95
ABalapaapa	-284	0	2834,5512,-3069,94,-2239,-82,3919,842,-1482,-239,1407,1029,-895,-3642,485,-2539,848,26,-80,-3067,-1240,506,1637,-1002,-4347,-711,-2185
ABalapaapp	-1296	0	185,-1569,-347,-3447,-1354,1471,-3062,54,-2594,-4102,-529,-4149,-2150,-986,-2109,-876,209,-1815,-436,-3853,-2791,-1438,28,1404,293,692,-1718
ABalapap	-278	0	-903,-1562,1093,801,2801,-219,-1039,236,-56,6,-743,1711,-1428,-715,2377,-1218,-2538,-531,-1003,-1689,-381,578,-1608,-233,-641,-313
ABalapapa	27	0	861,-1386,-1885,680,-108,1983,148,-252,1349,-2486,2805,986,3808,-2719,-473,-1735,2831,-684,-2565,1227,1264,3528,3640,-686,-1854,-571,3422,-1854,-3930,2130,2566,-763,-2157,-989,-2164,-1324,-1166,3012,-2906,-731,235
ABalapapaa	465	0	690,620,1807,-1897,-2059,-1431,2830,-1636,-461,784,5440,-373,-3491,1621,-2374,29,1658,82,1677,-3250,3618,8204,-1382
ABalapapap	-708	0	-480,-423,297,-1924,-210,-2346,-358,238,-1445,-2511,1735,-2417,-1587,1060,1390,-3166,-99,-798,-2318,1311,1118,991,-4339
ABalapapp	-387	0	-936,1526,-433,309,-2936,-3472,3074,1404,-484,-1984,1304,-2140,-1292,-262,152,-2125,-1001,-217,1432,-628,-805,1480,-1955,1371,-1176,-384,58,-465,-479,-178,-1712,1056,-881
ABalapappa	-803	0	1159,340,-1550,-1065,-232,-915,69,488,-2141,-1295,1275,-1690,3108,-2140,-1323,100,-2735,181,-4880,-1161,-1354,-1572,-1750,1596,-608,1118,-2354,925,-259,-3811,-2406
ABalapappp	60	0	-1658,-275,536,-236,1242,85,5367,1985,1327,2012,1906,-1761,297,334,-1932,-205,3470,434,-892,1267,-578,-1879,307,-2506,-688,-2512,-1348,-427,-756,-1119,66
ABalapp	-1055	0	-664,-2611,859,1440,-2416,-2347,-2154,890,-897,9,774,-1520,-2035,-842,-2552,-703,-1214,-2150,-2808,-671,-1310,-625,-711
ABalappa	-419	0	-966,-1013,-929,1396,2617,-2917,-1472,2200,-72,1609,-2021,-1136,1170,-1410,-550,139,-505,145,-1143,-1025,1852,-2031,720,-1902,730,-1123,-3157,-929
ABalappaa	-106	0	1656,3597,523,-4230,-3156,2766,-393,-632,-2593,653,-1025,1915,1207,1247,1476,690,1294,-2379,-483,-775,-1156,1139,-382,4746,-2446,-1766,2113,-501,-1361,1041,-1765,845,275,-291,364,491,1420,-644,2549,-1547,-1467,-347,-840,-354,-1882,-4453
