cell_name	average_expression	binary_call	time_point_expression
AB	-933	0	-1256,-610
ABa	-679	0	-180,966,-500,-889,-705,-1852,-1062,-1310,-101,-1157
ABal	-892	0	-2476,-508,-818,-879,-446,-1230,-900,-116,-1374,-892,-1574,507
ABala	-1584	0	-1042,-1622,-700,-454,-2461,-1774,-2412,-2323,-1704,-1070,-1967,-1920,-1141
ABalaa	-1294	0	-939,-1097,-2111,-1111,-2462,-356,-1090,-1440,-543,-1411,-891,-1429,-1767,-2409,-191,-1385,-1901,676,-2473,-476,-2372
ABalaaa	-1462	0	-2526,-55,-514,383,137,375,-1561,-2185,-1534,-2320,-2398,-1409,-2892,-2605,-2194,-1513,-2564,-1182,-2406,-3408,596,-1226,-615
ABalaaaa	-990	0	89,-711,138,497,-699,2670,-510,410,-989,-1454,-2498,223,877,-2419,-1529,-888,-921,-2892,-995,-2514,-1072,-2305,1517,-756,-2168,-1775,-2592,-3773,-3019,-1493,850
ABalaaaal	-1211	0	-3552,-1467,1477,-1268,-3145,-2111,-1006,-1103,-2656,1046,-345,-1652,1440,-316,-1869,1080,-129,-809,-918,-2363,-1085,-1616,-3235,894,-2594,-434,-930,-4201,-1096,-1867,-3128,-178,1347,-2161,-929,267,-4354,-1043
ABalaaaala	-1619	0	-1938,-3670,-4748,255,-1488,171,-2052,-4821,-3281,181,-3981,-1458,-797,-2674,-178,277,1144,-17,-1575,1426,-2171,-1280,-2464,-4882,-463
ABalaaaalp	-192	0	-3379,1118,89,-4463,1398,1424,3787,5187,-300,1846,-106,2200,-3647,3241,138,2139,2615,-968,-3771,-415,2011,-2458,-3920,-2519,-6045
ABalaaaar	-1501	0	-2258,-1814,-2482,1,-1727,-1368,1698,-19,-531,2772,-222,-1995,-2423,-510,-218,217,-4203,-2525,-991,-3131,-682,-3978,-1301,-4978,-3855,-2471,-1400,-1929,1552,1847,-455,-4224,-3748,-2768,-1717,-1561,186,31,-4520,-2335
ABalaaaarl	-4098	0	-5435,-3816,-2873,-6355,36,-3947,-3486,-8774,-5754,-1881,-3884,-5909,-125,-4946,-975,-3456,-7537,-4784,-5862,-3469,-3532,-1277,-6206
ABalaaaarr	-4190	0	-4580,-7517,-3836,-5400,-2300,-2585,1408,-1237,-5996,-6565,-3714,-1295,-2409,-6158,-6011,-4653,-4879,-1710,-1239,-8089,-6083,-6907,-4614
ABalaaap	-853	0	2226,-2363,-1065,2360,-4795,-1215,-413,-1850,-1471,1499,-651,-4230,-964,-1440,-5274,1319,45,-416,-1753,861,-465,-1896,-549,1715,-1596,-816,-2203,1512
ABalaaapa	-877	0	-1354,-1457,86,-4090,-222,1122,-2106,2110,401,-1990,-3481,-610,1350,-2169,-2257,-2476,-1187,-2395,-1386,-1850,2967,322,-1792,-1273,-659,-1832,-172,-1265,969,-759,-656,-473,680,-381,-1687,1028,-3507,848,-2596
