cell_name	average_expression	binary_call	time_point_expression
AB	-891	0	-1217,-548,-364,-740,-1346,-582,-1353,-1092,-1184,-480
ABa	-1037	0	-462,-995,-2284,-212,-1195,-770,-1369,-638,-1734,-1666,-85
ABal	-1398	0	-1367,-863,-120,-2169,-1304,-1816,-1919,-1861,-922,-1524,-1517
ABala	-1135	0	-726,-1330,-347,-1630,-1696,91,-2363,-1240,-2292,-1827,-701,-310,-481,-1040
ABalaa	-1435	0	-1719,-2411,-1535,-1697,633,-2447,-2040,-1225,-1480,-1625,-1502,-622,-1567,-765,-1189,-409,-1598,-2414,-929,-558,-1862,-2613
ABalaaa	-671	0	631,-1204,349,-1257,-915,662,-733,-1469,-1222,-885,-303,-2993,-221,-144,-1051,-969,-1575,-649,-832,-177,-109,-780,403
ABalaaaa	-615	0	-262,-1065,608,-144,896,3165,-1449,312,821,-1636,-2838,-921,1209,-1445,306,804,-1977,291,-3091,661,-1611,-1323,-2583,-2129,-1638,-384,1193,-110,-244,932,-1136,-1299,-4197
ABalaaaal	-1106	0	-1532,-1318,-3218,1676,2886,-2145,-611,752,-2500,-1655,-2611,-109,-1287,-1053,1184,-631,-2936,-1535,1341,-352,-588,-411,-980,-1915,-4397,-673,-3269,-3192,-2307,-582,-8436,-490,-354,-117,-2005,-737,1996,1180,-222
ABalaaaala	-1065	0	-1180,-2044,-1799,-105,-2557,644,-1218,1960,797,2072,-628,-1553,-3158,-2417,61,-2990,-3997
ABalaaaalp	-178	0	2417,-512,520,-1323,330,-2245,527,-374,90,-3804,-93,-1250,3436,-2223,165,618,689
ABalaaaar	-1191	0	-2026,-3487,2218,2395,-911,-730,-1310,-1270,-1037,-1691,1415,659,-775,1957,1105,-379,-1848,-3926,-1311,-1574,-2274,-2305,-1694,-1958,-854,-500,1167,-3285,-65,-1440,-1161,-1782,-4754,-2580,-4375,-1905,-859,-1662,-3155,334
ABalaaaarl	-2379	0	231,-2501,559,-5421,-4159,297,-2582,-350,-1373,-440,-2305,-6569,-2746,-2201,-1042,-7455
