cell_name	average_expression	binary_call	time_point_expression
ABa	-2197	0	-1639,-2959,-1541,-2649
ABal	-1707	0	-1029,-1789,-2398,-2553,-1334,-1262,-1610,-1013,-1477,-773,-3815,-1426
ABala	-3184	0	-3480,-3038,-3944,-2732,-3851,-4367,-4022,-2532,-2478,-1594,-2612,-3435,-2009,-4477
ABalaa	-699	0	-3022,-3630,344,-1468,-2053,-1739,-1384,-1327,346,-408,493,1651,-1125,-1137,613,2000,217,728,-1164,-2743,122
ABalaaa	186	0	-632,-502,215,-398,1096,206,1353,1764,-298,2391,724,1855,1688,698,425,1940,-1246,-472,-1899,-306,-1955,-1107,-1252
ABalaaaa	22	0	-257,-2860,-1895,2429,822,-713,811,-994,826,-420,-2804,-1636,-1032,1166,2093,1064,472,611,-1933,440,1416,1120,-1390,3349,291,1381,-768,-36,-736,-162
ABalaaaal	-1078	0	-2683,-1478,729,-1607,-311,-1453,-241,-2016,2460,1359,-5285,-43,2391,-3094,-779,-3219,-1840,-2301,-1440,1468,-2215,-3008,903,-1805,-1736,1888,-3324,2118,-1956,-2114,345,-1236,-4438,-1627,-138
ABalaaaala	-353	0	-2410,-2174,-1210,507,-1573,679,-1462,-2569,1862,-1422,-2843,1607,3999,1025,937,-3957,2879,1633,2041,-2061,-2901
ABalaaaalp	-51	0	-3803,2424,508,-798,1027,-758,1116,3100,-238,243,-2409,377,2154,-1886,-2532,816,356,-693,2537,-1025,-1587
ABalaaaar	-63	0	-857,2064,-789,-362,2240,1119,-1687,1631,2308,-2333,2361,-96,730,-3187,-482,2468,3823,-8,53,-2927,122,-374,-1175,-321,-3382,-1589,2019,2085,-817,1372,477,2400,512,-2826,-1248,-1451,-324,-3957
ABalaaaarl	-604	0	-2087,-3834,-5537,902,324,871,-1215,-3918,-157,-487,2157,-2163,-105,396,-1598,551,197,4830
ABalaaaarr	-558	0	-432,-25,585,786,-2179,335,-2464,-3944,-2051,-1377,-1498,-1822,-1910,-437,1717,5221,-230,-324
ABalaaap	-703	0	-283,-1492,-2238,-1741,-460,-1205,-1299,125,183,-269,-698,-2448,1247,307,178,1797,-2569,-428,-1023,-1034,-1481,-2095,-103,-896,-1969,-1407,450,1175
ABalaaapa	-342	0	-5140,-1483,-1005,-1100,344,3268,-342,-2190,261,-1433,954,-414,1981,369,-1594,3675,-1408,589,414,-160,-5645,1375,4743,-1319,-1022,-891,409,-993,-2687,1738,-3010,-1255,-1800,-2159,549,4051
ABalaaapal	-466	0	-3765,3249,-644,1229,-1245,809,-421,2811,588,1765,-1570,-1594,-2709,-1752,217,-1299,3336,-3127,-1488,-2106,-1751,-776
ABalaaapar	-92	0	3005,659,1260,-1815,-5682,-3521,1239,3964,-3210,-1208,2804,-2511,456,-721,2637,-3575,-131,201,-1022,2545,836,1756
ABalaaapp	-822	0	221,923,2124,-1601,-352,-1429,-951,384,-850,-2279,-2702,-2534,-1612,-2742,2153,-2764,-5363,-3641,698,1096,-1624,787,-4033,1915,1189,1823,-1902,-250,-585,-841,-2507,139,-2377,1065,950,1571,-4505
ABalaaappl	1	0	-3670,2863,-4870,-3280,-1847,-342,-965,-1097,4822,3752,-151,-305,2699,417,3271,-2127,-4481,-1992,3342,937,3041
ABalaaappr	-1597	0	-1927,1858,1533,-838,128,2496,-2846,-1229,-709,-5171,-5557,-1708,-1475,-1357,-4006,730,-4158,-3425,-795,-635,-4454
ABalaap	-225	0	-2747,-3587,-1129,-158,-237,1676,989,1165,2329,837,-251,2948,-780,-1578,-468,-145,-109,2757,-2996,146,-538,-103,-3203
ABalaapa	-793	0	-4809,-2979,-1551,344,261,183,-1833,-1996,-1795,1756,485,-1302,326,-680,-695,907,-1475,-1088,-328,2742,549,-1966,-1163,-1682,1341,-2685,-252,496,-769,-259,-2505,-2961
