cell_name	average_expression	binary_call	time_point_expression
ABa	-2004	0	-1161,-917,-2149,-1459,-2932,-3405
ABal	-1972	0	-1002,-447,-598,-2985,-2136,-2046,-2642,-2303,-4048,-3093,-1962,-406
ABala	-1202	0	-2105,-2155,-1196,-2148,-1176,-1211,579,-10,-2161,-232,-876,-1849,-1602,-1122,-766
ABalaa	-1168	0	2,-1510,-1064,-270,-1401,323,-1725,-2836,-1281,70,-218,-2365,-1899,-1865,-2548,-411,-2558,315,-869,-1531,-878
ABalaaa	-1179	0	-610,-385,-1058,-3637,1050,-1265,-3543,-2202,1944,-4018,-4334,-1706,-1426,315,-1426,-427,-1607,-546,1172,-1557,-372,-155,-3807,1301
ABalaaaa	-1069	0	-1367,-958,-1808,313,-1957,-254,-649,-1988,118,1058,-689,-268,-473,-1171,-3219,-1816,-2033,1839,1306,-2431,-888,-1099,-1085,-1680,-2867,-1434,-4643,-578,-487,-2034,-200,-1085,-1818,-1194,126
ABalaaaal	-678	0	-523,-1505,-411,309,-2334,-2958,38,-3909,-2967,-920,530,-1782,3195,-2583,253,-2951,-190,1724,-3193,-277,-1131,-1016,-1620,-202,-238,528,1780,-327,2004,-316,-528,1662,-1486,-2770,401
ABalaaaala	-381	0	-4549,-1809,929,-1610,4682,2416,-2350,-402,696,1899,-4138,3982,-4369,288,-2602,2765,3082,-1228,-129,-3338,799,-3401
ABalaaaalp	110	0	-2066,6200,-2210,-4738,-3083,-820,-1661,1257,-1258,747,11,3103,306,3224,2146,201,-447,946,-1508,251,180,1648
ABalaaaar	-10	0	274,780,-21,-1010,-165,554,-369,-2789,2449,2235,1245,1513,-2157,549,2225,1785,935,553,333,1425,-785,31,-198,-2009,2286,-2071,996,-4674,-2404,554,952,14,-178,87,-570,-1035,2649,-3155,-1220
ABalaaaarl	-953	0	190,-1553,-2344,-1127,-3099,-1812,-981,-2580,-755,1217,-3672,-1346,-1612,176,1627,463,-1522,1577
ABalaaaarr	1181	0	-123,1282,-1643,1570,2802,-611,-23,4388,2554,2351,-2625,1966,2088,1723,2730,4105,-1365,84
ABalaaap	-967	0	725,-3547,-956,231,-949,400,-988,657,-2705,-595,-201,349,-2301,918,-169,-900,-2938,-1426,-2017,-994,-3354,-230,-411,343,948,179,-15,-1002,-5360,-2696
ABalaaapa	-537	0	1736,-384,223,-241,-3637,802,-1894,-621,-515,1299,-2729,-13,-1508,-926,-3209,-1826,274,-907,14,3150,321,-112,157,434,-957,-442,-2080,-61,664,-1890,-1520,22,860,648,-2336,-2131
ABalaaapal	-1613	0	-4043,328,-2246,758,-5036,-1394,-4105,1646,-2062,-936,560,-672,-2134,-3572,1102,-1085,-1373,-2055,-1428,-2330,-1754,-2430,-4710,405,-1956,-1427
ABalaaapar	144	0	-2221,274,3672,74,-594,-1341,6562,-959,-383,1956,899,-2181,-537,-634,-2290,643,-988,-688,-1243,-1253,-1212,2610,-1012,-473,2818,2248
ABalaaapp	-1034	0	-2354,-891,-2039,-2586,-1290,-848,-321,-486,-2516,-2034,-4708,128,-2458,-3004,307,1026,-2776,1405,-3136,539,2980,52,-6470,-2557,-1220,2656,430,3391,-2691,-2737,567,-609,-2858,-498,-2551,2944
ABalaaappl	237	0	-5514,1511,3584,271,2553,95,-4403,4463,1666,-1996,4634,-1990,45,-1944,1719,-2356,1674,1619,198,3493,-172,-1966,-909,279,118,-502
