cell_name	average_expression	binary_call	time_point_expression
AB	42	0	42
ABa	-690	0	-439,-1735,-300,-212,566,-806,-349,-856,-745,-2028
ABal	-820	0	-873,-664,-658,-1121,-867,-905,425,-567,-1190,-1092,-1513
ABala	-1497	0	-1396,-65,416,-1214,-267,-3245,-1839,-2757,-2270,-2953,-1741,-1833,-1229,-565
ABalaa	-1336	0	1145,-1926,-1460,-545,-1042,-1399,-2031,-1114,-1590,-1131,-3310,-1324,-1268,-2710,-1170,-940,-2850,620
ABalaaa	-760	0	-683,867,3037,-1226,-1272,-1745,-2060,-1135,-1573,-729,-805,-1876,-1074,564,-171,-2406,-1283,1730,-2101,1466,-2028,-3041,67
ABalaaaa	-1365	0	-3177,-1560,-2116,-1539,-2026,-3713,-4140,-646,264,-238,-1488,1681,-1328,-1085,-2373,-1335,-798,-4225,-3271,-791,-1103,-1794,-1319,-1155,359,-2620,-905,-1905,-1502,1303,277,578
ABalaaaal	-1709	0	-1071,537,-2062,-3878,-3359,-325,-1585,-1058,-253,619,-768,-4512,-1449,-1062,2317,759,-3258,-1316,-999,-2227,-2198,-2639,-4287,-2501,-1731,-2332,-1064,-3917,-1953,-1417,-3804,398,-911,-2783,-3726
ABalaaaala	-1940	0	-2910,-6002,-7205,-1236,1225,-3400,-6503,-3138,441,-2691,-1699,-3730,-2470,-1723,-461,-2865,-1113,45,1000,-1474,-1049,-1294,-1223,-3278,1258,1058
ABalaaaalp	-706	0	-2566,-465,-778,-1556,-2595,-1839,-1559,-1773,2253,-147,-137,-4967,-2801,2218,570,-3080,5436,-946,29,2868,-847,-3534,683,-1445,-2050,675
ABalaaaar	-1202	0	-2669,-112,205,4401,1037,-1346,-215,-2912,-609,-2459,-914,2395,653,435,-454,45,-3778,-684,1155,-3349,-5346,-2352,-1964,-1950,-4448,-865,-2523,-4529,-2796,-1906,-3226,-146,-3598,1688,-1600,-2140,2392
ABalaaaarl	-3098	0	-2035,-1889,-1323,-1431,-753,293,-2022,-2222,-5049,-9735,-2056,-5472,-3184,-821,436,-4329,-5627,-8840,-606,-3287,-6504,-2481,-3394,-2028
ABalaaaarr	871	0	-2756,-2954,-3408,2798,6325,-211,3184,15578,5636,7982,9733,5144,6238,-1155,-1550,-4376,-4291,-636,-5502,-1807,-1185,-6003,-2246,-3640
ABalaaap	-1111	0	-164,-3703,-777,-427,-1699,-2316,-1694,-223,-264,-115,331,212,-1750,-5073,-4967,-1528,1278,-427,-1475,-2452,-331,522,502,1501,-1470,-820,-88,-3695
ABalaaapa	-792	0	-2448,-127,-1781,-2912,452,1124,2668,-1624,-13,-4701,435,1027,-2325,-1017,115,-45,508,-2255,1230,695,-2807,3492,-928,-2026,-900,-1973,-638,610,-1296,-3491,670,-3180,-539,-1426,-2284
