cell_name	average_expression	binary_call	time_point_expression
AB	-802	0	-707,768,-485,-1431,-1479,-855,-1243,-2354,-827,-170,-906,65
ABa	-1327	0	-4039,-605,-1229,-1446,-2319,-1935,-1531,-161,241,-464,-2058,-374
ABal	-1547	0	-797,-1378,-1293,-1029,-2119,-1881,-1244,-2000,-834,-1840,-2459,-1948,-1285
ABala	-2299	0	-1784,-1229,-3100,-2693,-1317,-1941,-3635,-2259,-1144,-4305,-2712,-1721,-3340,-1937,-1370
ABalaa	-2475	0	-4097,-3163,-2207,-2121,-3289,-3824,-1846,-4093,59,-1843,-1638,-2659,-2666,-1716,-1458,-1331,-1226,-3052,-3135,-3841,-2837
ABalaaa	-1282	0	-1244,-2555,-876,-1193,-2173,-776,-1226,-1354,-607,-2344,-573,-1384,754,-1343,-1757,-1904,-1326,-2858,-640,-876,1318,-2500,-2647,-921,-1041
ABalaaaa	-1331	0	-3322,-3066,-1465,312,1178,-147,-3354,-710,644,-2172,-1206,-1048,-2120,-1262,-1592,-1330,-3530,-1468,-1744,-1784,-364,-2319,-1731,-1555,-1255,-2237,-2371,-1215,-1355,77,-1769,2702
ABalaaaal	-395	0	734,-785,-679,-2034,3396,1998,-3878,-2570,1205,2986,-1423,-1323,6,-1981,860,-2541,-2834,-62,1956,-1939,-3466,-655,-33,2642,1101,-1068,2487,1048,423,834,-1649,-254,52,-6663,277
ABalaaaala	-442	0	2093,-963,-947,-1706,-1471,-1596,-3325,8,1150,-2157,2317,-2128,1004,513,2990,-283,-1732,-1481,-2800,429,1084,1745,-2515,-836
ABalaaaalp	-852	0	-887,933,620,-3132,-2230,2575,274,4247,-3021,-3854,-2100,-1234,2356,672,-2054,1542,3370,-6719,-2120,716,-3997,-1881,-2315,-2209
ABalaaaar	-1063	0	-2739,-1748,-1439,-2295,-4694,-933,-1368,-2239,-1379,-1255,-1013,-851,-2609,-1,-1186,851,-356,-3595,-454,970,-1225,589,-3704,1683,-994,2362,-274,-3488,425,-1391,337,-1642,-552,-1503,-693,179,137,-2290
ABalaaaarl	-109	0	-312,-1103,-2609,-4624,1093,-858,256,328,-1332,-1084,-40,1808,-2419,-217,2744,1195,-1073,905,1089,2804,1167
ABalaaaarr	-260	0	1591,1266,-4724,-3439,-465,1907,2020,-2970,-296,2821,-780,929,-1093,-953,-715,-2616,-1608,-369,1577,674,1776
ABalaaap	-1621	0	-2241,-4161,-862,-2783,-2407,-2331,-880,1816,-1878,-2265,-1446,-803,-2200,-4058,-1102,-1765,-1814,91,-84,-1820,-1331,-685,-1904,-4126,517,-1452,-1417,-2174,-1456
ABalaaapa	-751	0	2192,-865,-711,-2728,-1383,429,1832,1045,-268,-1639,2679,-569,-2794,-1199,-248,1008,-956,-2430,-260,-154,963,3379,-3036,-4114,-2647,-1662,-2850,-2334,-1787,-241,626,-3033,624,-1737,-1410
ABalaaapal	-751	0	1161,1692,-1640,-838,-205,-345,-669,310,-2106,-1594,-2489,994,-2711,-205,-418,-4104,474,-4493,500,942,1678,1726,-2906,665,-5080,1323,-1946
ABalaaapar	79	0	-1238,-3127,2270,1408,2075,-3321,-1680,2001,420,53,-2464,971,-6,1035,-828,1341,-333,2249,46,-845,1739,213,-635,1335,1328,498,-2372
ABalaaapp	-152	0	2347,3362,1227,-1193,-1642,-2492,3398,-1457,-247,1430,-2168,432,-2072,-2969,-2608,-1471,-924,896,-841,-2728,1327,3060,-2483,2347,-1715,-306,256,2819,-3374,2122,-705,-834,-389,301,2656,-2279,1308
ABalaaappl	-754	0	-1026,1171,-3854,-1449,-863,-1953,-4044,643,3746,-3340,-1358,-183,76,-2181,-163,168,25,-170,-2047,110,-828,-1655,814,1427,-1924
ABalaaappr	-220	0	-2638,-2066,-1979,-4036,-631,-1195,811,424,3781,-1973,-2123,-355,-2229,-681,710,1533,2103,295,1038,2518,868,1169,-3911,1713,1360
ABalaap	-1940	0	-1004,-2013,-2915,-1341,-1794,-2659,-1463,-3025,-1009,-3103,-240,-4166,-2704,-1759,-2365,-2863,-1933,-1318,-1468,-3281,-1390,-214,-2048,-618,-2223,-1535
ABalaapa	-1140	0	-2013,-2706,-2509,-3458,-1087,-1586,805,13,1105,-452,-2115,118,-1311,-797,347,-2201,-1722,-2796,-239,-3198,-3,275,-1119,-3053,-1103,-1992,699,393,-471,-2188,-2952,345,-633
ABalaapaa	-380	0	2674,-4118,1028,-80,-3552,-4316,1217,134,-788,-1188,-2825,-541,2043,-472,-855,-736,254,53,-2079,-4118,1242,-64,-1481,15,1489,2034,-1349,1321,1386,-2966,51,-2634,3071,-136,495,1155,975,-2538,471,1114,-967
ABalaapaaa	-241	0	-1703,1268,1881,1008,2341,-1655,1503,-325,-1227,-1091,113,1219,-4620,-1966,-246,-350
ABalaapaap	-56	0	1672,-77,759,-2236,304,-2396,1401,-551,299,1324,1215,-340,-1247,2148,-2775,-393
ABalaapap	-1004	0	-2582,-4454,-2686,-965,546,-2203,-2050,790,-2208,-3078,-4458,-1442,-862,-2566,-1332,-512,-944,-3744,-1403,-1190,-3714,1995,564,293,1768,-5942,-1279,-73,437,-80,2677,-1303,-1216,1323,-557,-277,-565,-475,3637,-28
ABalaapapa	549	0	-2807,4970,-1026,92,-1350,-107,3129,2857,-1429,-1613,1347,2827,-1843,-629,3394,-195,1724
ABalaapapp	100	0	1004,-1523,-2707,776,-151,2902,957,1855,-1587,610,842,-3077,853,-924,1210,14,643
ABalaapp	-1149	0	-2930,-1234,-2493,-1107,-126,-1357,-581,1692,380,-2697,-1970,-2097,-893,-511,-3229,-778,-1271,-388,-2142,-437,-1245,-1387,-1296,-2236,-301,-1982,2282,709,-3686
ABalaappa	-210	0	508,-1409,-1215,-1790,-860,2230,2608,2362,615,1954,-2741,-1463,-49,-1471,-992,-1737,-2857,-1641,3855,1039,1739,-2867,-166,2808,-601,404,-629,-2075,-24,-1032,-2538,-1805,605,1577,-441,-275,-2251,1466,826,-82
ABalaappaa	-122	0	-689,2441,1543,242,512,-6341,1891,78,-2563,-568,2350,-2772,1202,-663,-2442,-2109,875,-2308,-1166,4421,3503
ABalaappap	-882	0	-1959,-2328,-51,1385,-1841,-1544,-6069,-1066,-4869,1938,-3100,1629,65,1577,-65,131,-636,-2624,2020,-801,-317
ABalaappp	-537	0	-2332,-1014,1050,28,2569,-616,294,1260,-1072,-56,-2424,-3978,-1278,1335,-3151,740,-416,-574,881,-1141,-1253,-14,576,-627,-77,-1885,881,-779,-1526,-984,494,-2895,271
ABalaapppa	-871	0	-1729,161,1633,-3061,-1643,-1643,-1641,706,-138,2133,1459,1444,-1088,57,1513,-2636,-725,2564,-4534,1784,-4877,-888,-1720,-2189,-1415,-2975,-4452,-492
ABalaapppp	-1042	0	-2763,-1143,1366,-613,-2517,819,-1143,-1506,1883,-23,-841,-4090,-1575,-1127,-752,-3214,1501,1821,-1688,-2223,102,-1817,-1465,2127,-3335,232,-3179,-4013
ABalap	-1047	0	-1392,-192,-1253,-886,-16,-1010,-751,-809,-1314,-1998,14,-1842,-433,-1224,1548,-578,-2682,-3358,-1458,-2465,119
ABalapa	-1444	0	-5123,-1364,-1176,1624,-2892,-601,-1660,-4123,-1788,-1092,-860,-310,-1645,-1964,-1372,-279,-2545,-2472,-1269,1862,-1641,-2669,-993,-297
ABalapaa	-591	0	-1736,1752,-3677,-381,-1328,-34,-2699,-220,1201,-3372,-924,-1485,873,1127,-348,85,732,-152,-3528,648,-218,88,1506,-392,1396,-1770,-2125,-2821,661
ABalapaaa	-669	0	1204,1710,-1005,-1337,-1621,1416,229,-3725,1032,-388,-736,105,1790,-3356,1516,147,-2503,672,-557,-3323,312,-5,-1945,-1728,406,1051,197,-3153,-1319,1045,-3901,-5264,-1179,-95,536,-1710,869,-822
