cell_name	average_expression	binary_call	time_point_expression
ABalaappp	-1288	0	2188,806,470,-1621,-673,-2680,-1251,-1251,-1622,-1844,-1649,-1316,-2755,-724,-3948,-4245,-826,-262,-2800,285,-1171,-1624,12,-2875,-527,-876,-2021,-1620,-1947,-499,-1204,-2229,-1603,126
ABalaapppa	-670	0	2006,645,158,-397,1121,-1475,1358,1666,-2441,-1362,-1248,1912,799,465,1507,-1810,-1896,-2606,-3901,-457,-1654,-825,-2087,-4072,1147,1381,-720,-2806,736,-4508,-349,-1426,-975
ABalaapppp	-522	0	-804,2616,-3307,-609,-2001,-1087,-2609,1490,-2695,-1600,1862,-2099,-2763,-2791,3598,-1398,3094,-129,-1447,1186,613,1291,181,318,491,-11,3255,-583,-152,-4163,-2242,-2289,-2447
ABalap	-1220	0	-2630,-3612,-2456,-2088,-3346,-3573,-639,-2077,-2193,-1029,475,405,335,-424,-836,-467,-145,-317,-1541,848,-309
ABalapa	-120	0	1295,-1798,-531,-1317,706,859,1512,-40,-406,157,-133,-1205,3626,439,2373,866,-1183,-898,-2049,-786,-2338,-1177,-732
ABalapaa	-1162	0	-1279,-788,-1983,-101,1322,88,-1736,-1326,85,-2338,-145,-1653,-1281,-383,-2763,-2466,-836,-824,-4710,2966,722,-1035,-2268,-2576,-1938,-1425,-1063,-1587,-2363
ABalapaaa	-1289	0	1540,-550,-277,-1311,-1198,-1968,-2380,-1093,-513,-901,-2763,-1747,-3244,1544,-2413,-124,-2783,-5207,319,-5434,-3547,-4421,-1913,-2234,-1333,-870,-247,-2759,-612,-1887,-795,-411,-2412,2824,454,-3803,1494,1718,987
ABalapaaaa	51	0	2189,3723,1310,564,377,672,4025,1783,-1242,-5036,2354,1315,-1329,-3853,1097,-2045,-867,-3115,-3104,1399,1394,-223,-2840,-1483,1364,948,3182,-1133
ABalapaaap	-1566	0	180,-1319,-1083,-3568,-3234,-1328,-2573,946,-2351,-3453,-1550,-250,-347,-783,-4563,-2252,-1183,-4143,-104,-3722,1745,-2840,732,-1248,-1568,-1497,-1232,-1259
ABalapaap	-1474	0	996,-3132,-1066,-2285,607,-1057,638,-2374,142,-1328,-208,-1752,-1226,-3256,-5071,-3161,-2694,-4084,-3593,-939,-1479,-3019,-3226,1480,-3575,-2799,-203,-2875,-1033,-1643,-894,-1847,-1081,-3018,2899,1231,1380
ABalapaapa	-75	0	187,2022,2239,727,-1696,1545,-917,3744,-1903,-1204,-3621,2429,1770,-1999,2769,-212,-1634,611,105,-1727,330,1565,-754,-1735,-2338,1239,313,-795,173,-3495
ABalapaapp	-1026	0	354,-2673,-309,-888,144,491,-2187,3289,-1888,-5551,1087,-5539,-6333,-1179,2109,-4964,-815,-1129,-1196,653,-3441,-538,-2288,-50,2278,3244,1490,-790,-1479,-2683
ABalapap	-1685	0	-900,-5236,571,-1957,-1775,-1581,-153,-1388,-238,-4174,-4792,-1327,-4511,-1139,-2615,752,-628,394,-2104,-1661,-3416,-2428,-2342,-2606,-1278,-1982,197,-968,431
ABalapapa	-1107	0	-3263,-937,-2401,-1738,-523,1176,-514,-1365,743,628,-256,-3342,-1247,-2439,-2720,-2547,-576,-3688,-703,-1284,-1684,126,-11,-755,1169,-1711,1899,-2443,-2285,-3634,967,-2409,1707,-2093,-514,-3240,-4511,1205,252,696
ABalapapaa	312	0	-120,3033,-3589,952,-1756,-2207,-3494,1829,-2260,-1658,5187,1436,-2765,3406,-2874,998,2144,2578,-210,2719,2318,-1208,-1900,-2941,7014,-948,2739
ABalapapap	-1306	0	-2257,-3167,-175,-801,-3548,-3728,1228,25,-1920,1677,-2439,379,-4054,-797,-592,267,230,-1617,825,-1854,1035,-3545,-6460,256,-1586,-994,-1660
ABalapapp	-1574	0	-1227,-2897,37,-445,-1553,-2592,-3556,470,-2085,-1194,-231,-1335,-2116,-2561,-1243,-3142,-657,-2328,-995,-440,-1392,-1446,-6378,17,-1174,-1223,-3152,-2230,196,-2943,478,-1957,-514,-1703
ABalapappa	-2389	0	-3330,-1997,-2800,-2986,-3445,782,5,-1112,378,-4415,-1221,-3469,-3055,-4284,-2758,-3750,-4758,-103,-2705,-1706,-2758,-3585,-4133,-559,-81,-1708,-1554,-1326,-2176,-4656,-4698,-433,-4425
ABalapappp	-1596	0	-2414,-1679,634,1079,-1577,-244,-300,-78,550,-6167,-2675,-3976,-607,-2693,1657,4180,-4085,-1633,-8241,-63,-3737,-3259,1394,-2094,-425,-3883,-2154,-1733,-242,1654,-3226,-3648,-2993
ABalapp	-563	0	-88,-1137,-632,-1623,-90,-703,-697,448,161,1251,-547,3018,-449,-2088,-231,-2377,-2329,1755,-2264,-193,-3190,-371
ABalappa	-760	0	-1134,-648,1729,-3548,43,-177,-1198,-774,62,1261,-539,2034,471,-1544,-2541,972,-2353,-2190,-2566,-1682,-706,109,-2103,64,-3392,-2174,-1694,-2996,1469,761,1411
ABalappaa	-1224	0	-927,-2565,1128,295,1223,-964,-1303,-2338,1020,-286,-1965,-1961,-3447,-2264,810,-3085,-1066,-2872,-1741,-1709,1707,66,-3064,-660,-3607,-2488,-1087,128,-2369,997,-2774,-993,-848,-2028,-1358,-998,-5115,-1434,-1237,-267,-521,-493,1449,-2837
ABalappaaa	396	0	2653,-2800,945,3297,1272,-1236,2052,3528,-3438,-789,-739,2296,-1708,1863,1883,-3588,2428,-122,1628,569,-3193,1915
ABalappaap	-990	0	-650,-3662,-1674,-3415,335,1122,93,317,483,2945,-646,-4071,-2851,834,-1461,-1352,-674,-9,-2598,1700,-3444,-3098
ABalappap	-1723	0	-4213,-4786,-2951,-1357,-2525,-1438,-2021,-4048,-628,-3364,2603,-3496,-4135,138,-2449,-1763,-383,-1391,1887,-1539,-401,1166,-234,-3963,1975,-1153,-4120,-2275,-1633,-1328,-2343,639,-2923,-3336,-2518
ABalappapa	-171	0	-1262,2588,733,1469,-307,2418,3088,5310,-3281,2643,685,-41,1498,-565,-4044,3084,-1448,111,-4719,-2119,2834,1673,-4780,978,-1501,-1058,-2052,-1848,-3323,-3549,1497
ABalappapp	-977	0	1001,-3661,1962,-619,131,-1246,-2225,-4498,-1543,-2523,-267,-683,930,-1057,-4404,-2197,592,-1115,-671,1763,-2842,-441,-1110,-2749,-853,-2204,-2884,3609,-707,3853,-3632
ABalappp	-1332	0	-3838,-3623,-1155,1171,-878,217,-2978,-2491,-1542,-64,-2362,-210,-58,-871,-933,-4323,-1850,-816,-2447,-4,-930,-1174,1202,-3021,-3105,2278,-2147
ABalapppa	-1854	0	1740,-1213,-1952,1870,-2215,-3238,-1057,-224,-2996,-1295,-427,340,-920,-2410,733,-520,-3826,-2645,-1735,-1778,-1921,-2948,-3782,-2243,-42,-2079,-4641,-1994,-1534,-2646,-4799,-4749,-1863,-2609,-3274
ABalapppaa	-658	0	1257,2620,1643,600,3814,-2947,1733,-3921,-758,-3316,-2950,440,-2418,-707,-899,-3197,-2246,-124,-810,404,-1566,-384,-984,-2983,436,-4964,1116,-3164,2049,-75,454,-909,-1142,2421,-1537
ABalapppap	-1559	0	-1531,-3348,-2001,1832,3294,-2751,-2461,-1621,-3430,-5326,3228,-3062,-4223,-3802,-1814,-5733,-441,-467,554,-2357,-4066,-1608,3206,387,839,-602,-3932,-3934,-2189,1344,-2738,1573,-4967,-3126,702
ABalapppp	-1997	0	-2751,-3562,891,-512,-536,-3859,-1924,-1902,1471,-2109,-760,-2709,-3118,1861,-184,-2976,-1026,-4861,-2310,-3426,-4217,1185,-809,-2301,-1307,466,-2106,-3523,-3405,-1901,-1674,-3420,-5486,-4020,-3088
ABalappppa	-2000	0	-5313,-1168,-924,-1833,-2071,-3673,-1560,-1592,-3446,-2936,-5002,-2531,-254,-4675,-1735,-987,-3607,687,-1563,-302,-236,287,-1574,-217,-99,380,-5424,-1699,-2350,-5967,-743,-3360,-3016,-161,-1346
ABalappppp	-1297	0	26,-4219,-1683,633,1932,-1744,-1888,1073,-3452,-3449,847,-2245,-896,-1914,-3858,-2335,-212,1456,-3150,-2756,1752,3,-3141,484,2713,-2613,-2017,-3421,518,-952,-2549,-317,-5184,-2617,-217
ABalp	-2018	0	-1860,-83,-333,-1351,-2767,-2695,-4256,-2058,-3278,-2550,-3288,-1642,-76
ABalpa	-2203	0	-887,-797,-2520,-1549,-2237,-2521,-303,-1972,-3399,-3044,-2290,-1692,-1372,-2843,-3831,-3673,-3766,-2168,-704,-2493
ABalpaa	-2028	0	-1242,-2411,210,-3135,-1867,-2162,-849,-1794,-734,-1100,-3386,-1453,-1116,-3006,-43,-107,-2722,-2373,-673,-4568,-4598,-3217,-4292
ABalpaaa	-916	0	531,-1727,-2271,-1027,-614,-1418,-3147,-1069,-2613,-460,-588,2314,-1687,-1041,-665,1277,-3463,-607,1491,1834,-1667,-3091,-29,-623,-1155,516,-2237,-227,-2656,-1361
ABalpaaaa	-201	0	-1472,-1204,-754,-1912,1208,130,1754,-2676,2472,-379,2368,-675,2503,1874,-3277,754,1428,4635,-1075,-365,-1148,-159,1579,-1322,1058,-620,-1876,-254,441,-3927,-1362,-714,59,799,-700,-3135,3046,-1287,-442,-3060,-557
ABalpaaaaa	-446	0	1740,-3062,1306,-2094,-447,935,-3732,-794,-1520,2524,543,-2758,-335,-3508,3696,-600,-1711,-653,-1880,1189,-236,-1817,-1116,1320,439,983
ABalpaaaap	-512	0	445,-5242,416,-2324,-3425,-1342,1047,810,-2572,1056,-14,-723,561,151,-962,-2290,1408,-4288,413,-2346,-2829,-3015,4580,2290,3322,1555
ABalpaaap	-949	0	-2752,95,-1587,-150,-1043,-1118,585,-728,968,256,-1578,-120,-953,-1666,3080,-2138,-764,-450,-1559,-2386,-27,1998,-102,-1003,-543,-168,-3090,-428,-2026,-2399,-869,-2090,-1103,-3605,-2273,-2223,-1969,-136
ABalpaaapa	99	0	-2755,-3047,3717,-712,-4014,-1978,-424,-278,775,5143,-3231,4286,-2296,3242,-2820,-1022,1183,1846,782,1971,5396,-1455,-2323,246,-3697,2620,-2707,4092,336
ABalpaaapp	-892	0	-2713,-1323,-246,267,538,-4214,438,1847,252,-892,-3853,-1496,-1176,-3913,-2098,-2687,-2192,5085,-4160,5531,-3210,1810,3831,-590,-3009,-982,-5713,-3974,2963
ABalpaap	-1991	0	-3110,-1821,-1158,-1238,-2921,-1387,-3597,-1104,-1568,-2127,-3823,-1579,-2147,-2128,693,-4790,-526,-3411,-1891,-662,-4716,-206,-3468,-292,-801
ABalpaapa	-650	0	-585,-1373,-2082,-154,122,-728,-1663,-591,-25,764,-2391,677,-1068,-115,9,-3384,-260,-2264,1260,-1210,219,-1250,292,239,1236,2148,-2244,-4000,344,-1433
ABalpaapaa	-963	0	-691,3288,-2367,-523,-569,-1408,1900,2102,-1659,-1073,-2732,-838,-2512,1913,935,2782,-2762,-1626,-2102,-2411,-365,2096,-4575,-1618,-146,-705,1577,975,-2707,-3105,-1497,-3622,-3984,-451,-715,-6590,-3964,307,1136,-1060,-221,-842
ABalpaapap	-1301	0	1425,-1734,-769,-1407,-2712,-275,-1094,965,-2349,-1981,-1316,501,-1774,-3450,982,-3392,135,-1193,576,-432,-2166,-4583,-966,-2200,-822,-421,-2674,-788,2566,-1111,-2260,-50,-2977,-2656,-4450,-931,-2351
ABalpaapapa	-1000	0	-2253,1726,-3801,82,-752
ABalpaapapp	-1970	0	-2579,-1847,-4570,-33,-820
ABalpaapp	-965	0	139,3538,-606,-2912,-303,-2678,-1201,-1828,-210,-2212,-556,-993,1887,-2496,-4039,-937,-240,-2077,-714,-1738,-1816,-40,2420,-2607,-1539,-571,-2611,-3834,463,-2939,16,2499,3076,-1091,-818,-5179
ABalpaappa	-1148	0	-4184,-4634,-1783,-3758,-564,3147,1801,-387,-2704,-2677,-44,-1936,61,-194,-1624,-1377,-2400,-1479,-850,-1639,-1612,-70,159,-4724,-479,-5169,927,98,-845,-3092,398,-1833,1238,542,-1388,1760
ABalpaappp	-854	0	-2328,-2592,-1525,-3842,-2459,1306,-490,-1592,-1105,3028,963,-1515,-179,-800,-2570,-3101,-514,-1166,426,-3046,-2770,505,-3733,1091,1798,-862,-2317,-913,-951,-357,2017,3409,881,-522,-2270,-2653
ABalpap	-1833	0	-3028,-3309,-3489,-86,-1605,-1335,-555,-410,-3457,-731,-2299,-2003,-1778,-3137,-2627,-1080,-2443,-2756,-2678,-1537,610,-598
ABalpapa	-853	0	-3166,-1820,-4272,-905,-257,-1216,-308,-3081,-2485,-175,-569,-1190,1988,177,-589,-1152,-1976,-1972,-1853,1141,-96,-1745,749,-447,646,2387
ABalpapaa	4039	1	946,-1637,3178,-92,862,1532,2493,1886,3431,5275,1038,754,4988,3128,3131,3162,3682,7147,5539,4918,6451,4180,1303,8407,4405,6523,10430,11796,6135,2690,6152,5696,5625,6508,4021,-264
ABalpapaaa	4618	1	3815,3532,7274,5565,2861,6042,5160,9035,10689,525,5987,3765,10183,2338,9999,5263,2454,6844,3579,4377,7029,5259,5813,5877,886,942,3026,7080,6377,1481,-43,-185,3189,9434,-1915,2715
ABalpapaap	2189	1	625,1081,5974,3791,173,2263,5927,-994,5647,7261,4767,4000,1640,5495,2287,3663,1387,1564,3999,931,4509,1864,876,4946,2136,694,2986,-1621,-1254,974,-8,2590,141,-651,-776,-74
ABalpapap	2404	1	1875,12,2074,-792,-1307,-1213,41,302,2875,2809,2856,-100,2007,4111,1112,2450,1438,3237,9745,436,4739,1301,4794,2965,3971,6413,3934,1379,-44,5318,5338,1597,2447,4016,1022,2729,3062
ABalpapapa	2106	1	1597,-1818,1909,2606,-1306,-2979,2365,2924,3471,-1020,1870,640,983,2569,2893,2383,8866,2725,-135,7936,5501,1188,-2195,4442,-1595,-356,506,3889,4654,91,3651,5530,5774,1267,2899
ABalpapapp	1139	0	1523,-2754,2999,174,73,-1011,3134,5093,3735,1654,3530,2297,2711,2561,3021,4125,576,1717,760,4163,329,441,598,2357,2288,199,85,-2192,3351,-263,-1579,-4992,1335,-2036,-136
ABalpapp	-871	0	-1386,-2441,-401,-1,-171,-506,-158,-1247,-1674,-446,-2824,1637,-171,-507,559,-1875,-471,666,-1528,-284,-1108,-2430,-3200,-934
ABalpappa	-1236	0	-2309,1678,-3618,-2134,-397,-563,-265,881,-912,-2375,-5564,-469,53,-1732,-357,-934,-4914,-320,1035,-2946,-439,-150,-4147,1237,552,-2924,-1975,180,-2708,-1639,-136
ABalpappaa	-644	0	-1504,-3204,-4118,-1433,-3587,2043,-3164,902,3250,-2578,-876,4578,-752,-4742,-816,-1423,-4093,1799,2990,-2036,-1253,2989,-637,-531,-2142,867,4099,1072,-3021,74,-2914,551,-2301,1305,-1611,-4972,972,-1339,1928,-2536,1929,-1481,4
ABalpappap	-653	0	540,-3225,-241,688,348,-1362,-251,-1672,80,1193,1685,-180,-1776,2259,-212,707,-1907,-858,2056,-2997,1178,-150,-909,-57,-3017,-1419,-1666,-1744,-2810,-2528,-4274,655,1167,2845,-1963,-3724,269,-1009,885,1534,-1883,-2043,-2296
ABalpappp	-518	0	2209,-1011,853,-124,-540,-2134,-641,81,-702,1156,1033,520,-680,-1753,-1947,22,-2214,262,-1738,-347,-699,830,-2142,-1875,724,283,-1891,-1554,-2028,-2689,2308,-150
ABalpapppa	-707	0	821,729,274,-1302,3761,1085,4078,-1783,885,-1590,686,-3221,-1955,1230,335,-244,-183,-3384,-146,1113,2437,-2438,-3581,1034,-155,-496,-513,-188,-136,-249,17,-4230,-996,-3962,-3260,622,-2458,-2589,-2467,-1022,-5401,-862
ABalpapppp	-493	0	3708,-1602,-26,-2118,635,-3857,796,2290,1287,-3617,884,-2069,1627,2861,-2798,-3278,-1915,-1796,-732,-45,2153,-1135,-809,675,2781,-1354,732,16,-14,-1772,-1007,-1348,-101,-1039,-3406,-1418,-2709,-1405,131,-2726,2547,277
ABalpp	-2852	0	-2429,-3679,-923,-2287,-3324,-3289,-3591,-4251,-2461,-3513,-2619,-2231,-2319,-2932,-4167,-1347,-3122,-3058,-1527,-3966
ABalppa	-2328	0	-515,344,-1887,-5168,-3220,-3210,-3437,-499,-2219,-1173,-2634,-2171,-3997,-1632,-74,-2556,-1148,-3524,-5218,-3127,-3341,-1766,-1377
ABalppaa	-688	0	2097,156,-509,560,-124,-866,-693,-637,-1453,-4783,-333,1439,-314,-3498,735,-2450,4,-768,-2332,-3017,1154,-2377,1027,156,509,1454,2498,-2922,-1971,-219,-1453,-3536,-223
ABalppaaa	290	0	4822,-549,-1675,-2662,-1577,158,1093,-4065,3073,1430,633,1118,1714,3609,-2770,-2466,1393,-1381,-1977,-734,3071,2410,-40,-1152,3630,3219,2888,372,-1030,242,-47,1515,-1434,-1919,1113,382,-856,-309,80
ABalppaaaa	206	0	-1245,2000,-1396,-3966,-2058,105,-1289,1583,-210,4825,275,-489,1607,3173,-1635,1999,4131,1064,-790,-3011,2576,3438,766,-518,-5781
ABalppaaap	300	0	-2246,-965,553,2456,474,-625,-581,492,-3566,-3118,-344,3884,3598,1112,1818,1135,3432,-569,-1211,-1641,-1479,1810,1281,441,1363
ABalppaap	-122	0	-1183,-872,878,-815,-758,4054,-23,-1036,158,-1464,1276,-1532,-584,2494,1178,-1012,-1936,-2045,-2898,199,151,-1679,-1673,1269,-2285,934,1098,695,4605,256,2774,-3717,-1372,-2159,-104,278,2334
ABalppaapa	957	0	708,1431,2084,1124,26,-1220,-1483,-1689,6279,3436,3728,-2053,451,5043,-676,-1393,1057,1507,2562,725,2338,-272,5378,-1480,2879,957,-5615
ABalppaapp	-1865	0	-3051,423,1582,-796,-3760,-4771,-3293,-566,-2034,-1955,-3881,-5585,-6163,4146,-2521,336,290,537,196,-4522,-544,-5125,389,-3332,-653,-3027,-2687
ABalppap	-1898	0	-4650,-2589,-3401,-1428,-3899,-810,-2012,-3101,-5347,-2533,-2719,-2096,-1993,-1934,-2928,-1075,-2772,-1345,-1047,-2503,2406,-980,306,110,-306,-812,-1797
ABalppapa	7498	1	37,2466,-857,4858,4753,2671,8818,6774,4622,9920,3442,6951,7443,8125,1969,9554,10406,7608,8976,9267,11959,13084,9028,11802,15466,9118,10437,11319,11244,10696,10290,2597,2580
ABalppapaa	2512	1	4083,3265,4374,5116,8275,2888,194,10086,10044,8030,5309,5844,7480,4900,-1858,4234,3063,3342,3353,662,-2415,276,2432,-1091,4001,-4116,-2837,368,-121,939,-1196,579,-1473,4238,-635,-975,2284
ABalppapap	2809	1	856,2093,-1164,6176,5826,3444,4614,2343,5471,8289,1474,4466,2888,2594,1414,3212,903,4099,626,6265,4558,-147,-1716,2249,-1428,2946,-443,-1911,3835,3149,2630,6950,1051,8954,5153,391,1819
ABalppapp	7810	1	-515,-1808,-4529,1003,2183,2643,2860,5552,6117,6900,6251,4606,7998,8169,7154,8877,7886,10368,13772,13994,14266,16419,13057,13509,13478,14722,8880,13182,14648,13036,3906,1321
ABalppappa	9555	1	3308,4752,11876,8053,13238,13737,13551,5369,11078,8909,14426,9713,5861,6628,7280,10340,11894,10591,13272,4145,14796,9286,8503,14818,10485,9690,13720,9817,7930,9318,8101,12369,7028,8180,7444,6563,11159,5844
ABalppappp	9957	1	2984,6178,10685,18372,12897,14113,10702,7998,12768,18137,19173,15057,4000,10392,6155,7339,13395,15426,4211,5949,9351,14621,3286,7169,7543,10255,11998,7049,7240,14699,11228,10407,8164,7175,9066,7717,8174,7305
ABalppp	-2481	0	-1006,-3088,-2482,-3463,-872,-291,-3400,-3205,36,-2650,-4457,-3358,-1872,-3892,-2665,-3184,-2542,-4528,-1652,-2208,-2296,-1516
ABalpppa	-2086	0	1279,-2203,-5962,-109,-993,-949,-2822,-2321,-2728,337,-32,378,-1689,-3390,-2257,-5617,-2178,-3439,-3956,-2195,-429,-1980,-4098,-576,-3371,-2066,-3307,-1662,-2149
ABalpppaa	-1095	0	120,2070,615,-557,-3186,-907,-1916,-1396,-4052,-1216,-504,-2509,182,-4138,1071,-49,-3375,-684,-3476,238,782,487,-2647,-2643,-95,-2286,-886,1130,-986,-1884,125,-1116,3664,-3329,-778,1290,-4704,-2245,-2922
ABalpppaaa	-260	0	-118,-119,2832,1945,2488,-881,-101,-2576,-127,-50,518,214,-1142,-262,-422,-1356,-3375,-490,-3856,-3129,-1947,2074,822,-2257,-133,3661,-2288,2081,1244,-1063
ABalpppaap	-459	0	1604,-1223,-3661,-2286,-3632,-5540,-3299,1292,397,-4000,-1836,1215,-1456,1298,3248,-1309,2025,-983,-761,3799,-14,-878,664,-533,-1456,693,513,1801,-304,847
ABalpppap	-1748	0	-2278,-668,-2391,-1760,-3111,-3330,-4796,-1876,-1595,-2361,-2045,-1832,-2479,-5975,-1804,296,-267,-4026,-2520,-3161,-2021,3010,546,-21,1172,-2248,-1398,-4210,-3579,-1123,336,-674,503
ABalpppapa	-366	0	-2852,1906,-1107,152,1760,911,2642,2753,-401,134,946,-4564,-2376,3051,1946,686,-4562,-395,-91,-1151,-985,1094,-990,-3895,435,926,-4600,1694,-574,-3468,700,-1277,145,-2356,736,-165
ABalpppapp	-1356	0	-2353,-22,-442,-946,-3152,2370,-2274,558,15,2104,-2167,-2086,559,1704,-7272,-2871,-940,-2836,-1924,-2422,-1334,-1085,-2707,-2313,-278,109,-166,-963,-5889,-98,1669,217,636,-3344,-4289,-4589
ABalpppp	-2372	0	-2922,-4171,-3295,-1190,-3819,-2144,-2898,-4905,-2728,-2078,-2276,-516,-1761,-1549,-2735,-2582,-3597,-2111,-2064,-2678,-2575,-789,-1322,-1849,-2099,-1015
