cell_name	average_expression	binary_call	time_point_expression
ABa	-1240	0	-1455,-2272,-1026,-1295,-3,-1388
ABal	-1303	0	-1109,-383,-400,-2028,-1579,-603,-1185,-1858,-2090,-1799
ABala	-1152	0	561,-1943,-1497,-1332,-1009,-1993,-1027,-956,-1841,-563,-717,-394,-1819,-2542,-209
ABalaa	-348	0	-1824,-1528,-1525,-746,-28,-475,-489,-2068,-229,-1035,856,-1265,413,143,306,-32,-114,29,1640,-1186,1842
ABalaaa	833	0	-1148,-1260,353,212,2063,437,559,1381,1063,1305,1952,1125,1522,1152,1354,2026,-1070,1623,985,1072,-394,3210,16,164,1126
ABalaaaa	407	0	-1343,-840,745,-630,404,3123,-589,3117,2715,569,-1035,75,-1733,-172,-890,1716,1898,-281,-1090,-971,545,850,2151,-114,2089,114,912,758,-1611,972,1463,-1577,-1320,1950,2289
ABalaaaal	670	0	1875,4090,303,545,1645,-665,501,-1104,2706,210,3479,-609,-2388,454,-1426,1969,1370,-857,1921,-936,529,2144,0,1421,1180,-973,-1108,-1381,1876,2015,2737,-1155,-188,2327,-1234,2052,1451
ABalaaaala	-397	0	-2441,-56,-324,-722,661,-3014,572,2127,244,950,-1760,-2040,-960,1564,-1797,1523,-1154,1878,-1880,-637,-1069
ABalaaaalp	1075	0	2247,-150,-992,-1738,-200,5507,1693,2618,2334,-1004,3600,2851,-2241,3713,1828,-1425,2782,-842,3600,490,-2096
ABalaaaar	-154	0	1274,1599,-1448,-590,806,219,-828,-2151,-615,-149,1844,2618,760,-659,-2714,-549,348,1162,348,-149,-2370,1136,-2208,-802,-1972,1266,851,-2315,261,-1002,226,3628,467,-526,-3389,-2232,1152,859
ABalaaaarl	475	0	1472,-1286,83,4697,2471,248,228,-4377,-2100,979,-2791,1656,2050,1106,2066,-2297,659,383,2757,1497
ABalaaaarr	1279	0	-636,1961,1464,3852,1649,823,5984,760,1685,-479,-170,-1078,-1296,405,2445,1104,-284,2046,6491,-1153
ABalaaap	-587	0	-575,422,-1409,-1229,-1584,-179,1070,230,-931,-36,537,-1040,-1072,-534,800,729,-412,-998,-909,1292,-3172,-2019,1195,-1595,-2356,-1486,818,-1994
ABalaaapa	216	0	-2956,4807,473,431,-437,-727,804,3249,670,1767,-563,14,-40,1474,2137,-2116,-321,-2653,-415,249,-2368,451,-845,-882,-881,-1661,1333,151,-1123,-10,620,167,1057,-191,2319,1768,1764,512,393
ABalaaapal	696	0	2573,196,1730,-1051,-884,-157,-641,-240,-4,2222,-1361,393,300,2647,-13,3264,3267,3595,1736,2134,241,-595,663,-3273,214,1144
ABalaaapar	568	0	1361,400,-1024,-1031,1350,-1054,2037,2234,286,1019,-371,5760,531,1308,1490,-1639,2537,-269,-343,1740,-1654,-3168,990,1082,-1556,2753
ABalaaapp	-129	0	-3763,460,202,1812,3272,354,-2483,-245,1236,-1442,-401,-1972,1353,1380,1620,666,-1200,-76,-342,1165,-1731,5168,-2198,-707,2658,-1153,-769,-1424,-1030,-1449,817,-3148,-1327,113,881,-951
ABalaaappl	361	0	-1627,-3319,-468,1787,1590,135,2857,2506,-23,283,-4570,-434,-95,1391,3914,1867,972,-1140,-1296,158,-1419,-1760,1071,1738,1358,-987,4560,783,641
ABalaaappr	471	0	3081,1811,2929,1635,-1254,1367,-1519,1181,1889,653,-4010,-1188,1155,2690,-2216,-37,2259,3275,1803,1601,-776,-74,-2334,1807,1557,-183,557,-1888,-2103
ABalaap	294	0	-170,-1526,-646,1038,1058,1517,965,2327,2034,812,1426,-365,1474,-523,1754,-623,-2329,-129,355,1040,836,-1645,1792,172,-3283
ABalaapa	260	0	111,-71,-1577,1621,724,1789,1518,-294,-1484,204,-2999,2228,1242,-521,1918,-612,1797,-1732,1682,-305,-108,1546,-1196,-1069,1630,960,-197,610,1250,-876,266,1906,-814,-221,887,-458
ABalaapaa	95	0	540,-1950,914,-2904,-1404,1947,-1049,2203,2539,871,881,3557,-1188,1009,642,-793,-1134,-242,-716,2160,-2709,-776,1057,-200,841,2767,-3256,1827,-568,-2313,154,-938,-895,-2187,999,-1990,-130,913,1077,5033,-678
ABalaapaaa	939	0	413,3111,3217,1772,1213,1148,-1650,-316,-132,-2254,186,1262,1685,1313,2242,1807
ABalaapaap	-50	0	-13,5083,522,-1206,-272,1859,-2235,-1073,-1645,-1330,-1538,1091,332,-1123,224,528
ABalaapap	241	0	2861,2017,-2120,-1721,-580,475,4306,-712,173,88,1478,-823,-857,2154,-569,-3085,944,1635,-2296,-2956,148,1163,2841,-1203,128,-1644,507,-833,2740,-1114,1969,639,-399,828,965,1885,-727,11,1077
ABalaapapa	601	0	675,4127,729,1669,2516,1501,-2921,-210,2259,-1650,1462,-2061,125,-241,2649,-3210,667,2735
ABalaapapp	-393	0	-999,-448,-1023,1434,-1,1646,2433,-2524,-488,-2506,-871,-2889,-1876,719,872,-2229,1225,445
ABalaapp	-454	0	-1369,-3134,-1236,2173,965,1329,-597,-1002,-1121,-2948,-1565,-726,-2083,1507,-454,-1079,-1295,2797,-529,-652,-158,-211,-619,793,153,1328,-749,-1594,-44,-1515
ABalaappa	-19	0	1677,-1647,-1517,-1550,-2114,50,-1698,2638,-1021,1942,1645,987,-165,-4236,328,-200,1002,-1190,1658,2863,-1040,799,-1134,-1580,699,117,740,886,273,-1412,-4231,2648,1793,777,784,817,-1605,591,-2622,1839,650
ABalaappaa	433	0	-2991,1784,2642,285,-4032,-636,2254,1020,5054,-1628,1678,4553,43,-259,-1932,-1261,-386,-1165,4707,-2387,-118,2291
ABalaappap	-731	0	295,2533,-1888,-2516,213,844,-1679,2160,-1543,-868,169,-1265,-1864,91,331,-3414,-1786,-2105,-2136,-108,-983,-561
ABalaappp	-124	0	34,3244,219,1679,-1327,-632,2421,-195,-2541,220,3660,336,-1009,-990,1027,156,-3748,603,-3063,-276,359,493,-1193,-1008,-26,2294,-628,3059,-440,-873,-2590,1196,-822,-1092,-1268,-1732
ABalaapppa	107	0	4785,-2510,-1250,-1448,-1142,1199,-807,-2456,-1724,2807,-4207,-1944,5693,-102,1975,126,568,-4,3807,1785,528,422,-1360,313,-1371,-1563,773
ABalaapppp	139	0	-1024,-674,-1068,-1748,1732,556,716,-670,-2274,274,-1959,-438,2795,-3904,2945,-1528,1583,2885,-2529,2173,-678,1471,-2210,4723,1031,1587,-18
ABalap	-966	0	-750,-1069,-1686,-2096,-610,-183,-1097,-2020,-1724,414,-918,-878,-553,-1075,443,-2099,-1314,-1868,-1043,-76,-89
ABalapa	-4	0	488,-823,-99,2063,-427,1162,-458,-814,-541,-1335,277,528,-931,220,-857,926,-624,-306,2317,-694,-1873,385,-1856,250,2932
ABalapaa	170	0	377,-4049,157,-662,345,-2223,1943,-110,-733,-1008,-132,1283,-610,-290,1085,3965,-781,-240,950,1808,1246,-441,1682,1614,369,410,125,1189,872,-914,714,-2490
ABalapaaa	-204	0	-1900,1894,965,447,141,-284,486,1530,-818,907,-1832,-93,1138,1635,-2331,-91,-3531,1357,-1827,-1135,-35,-2754,1104,1021,-2054,-1271,-588,-3187,-705,-229,4370,1794,1269,-798,81,-1332,1619,-5,1390,-160,-4545
ABalapaaaa	-109	0	1278,-2299,516,-1295,-676,-2777,337,2180,-2036,-266,1375,517,-1625,-2362,1517,-1917,2216,-815,2804,1143
ABalapaaap	-393	0	-2393,2001,835,449,-1880,2663,-517,1412,333,-1391,-1115,719,-1232,-2030,-927,-377,-1049,-261,-860,-2237
ABalapaap	-151	0	-447,1029,-815,-241,2067,1937,1531,273,-1293,-301,-1073,-2955,-150,1356,1486,-2344,-824,-918,-2334,430,-1333,-2496,1171,-2325,3273,576,-2607,2810,54,-2470,2965,1859,791,755,-1235,-844,-2944
ABalapaapa	-804	0	166,1817,-6590,-3975,-2140,6650,-41,-5939,1723,-3150,2328,1920,-203,688,25,-1019,-712,1300,-2123,-145,-621,-1266,-2703,-5280
ABalapaapp	-655	0	1988,-1829,-1027,-959,-1852,322,4082,-516,1257,-1803,-4031,2045,1207,-1246,-3488,629,-1587,-886,-1473,-1681,3291,-6177,2345,-4323
ABalapap	-257	0	3130,25,190,-1164,-564,-1706,-398,-116,890,537,-2213,-2232,572,-17,-1286,-505,2517,-3740,395,-678,-1427,-724,944,1341,-720,146,-1072,666
ABalapapa	-293	0	-1848,-2560,-1200,203,566,168,-1332,-1722,-484,1950,-816,-1482,1574,-1106,193,2097,-1799,-1557,-3207,-600,752,3908,1020,58,2652,-1109,859,-2027,-2550,-1326,-443,568,449,864,-1529,77,-3206,-1470,1008,-1625,2048,1658
ABalapapaa	595	0	-140,2997,2009,-1905,5939,1941,-454,764,-870,-1582,532,-2606,600,331,-332,-2111,-809,1600,404,1374,1175,2288,2551
ABalapapap	-364	0	2051,-327,-2939,-322,1570,779,-897,-876,1517,261,239,-2303,-584,-1930,2525,-241,-2958,-285,-978,250,3198,2366,-8482
ABalapapp	183	0	1866,3452,-252,-521,-3962,962,2381,252,4500,991,-282,879,623,756,172,2093,1362,-771,-742,1186,629,428,-823,-1282,-129,-2482,-3185,-2777,-373,1919,-240,-1946,458,-2414,2022,1844
ABalapappa	-295	0	5717,4200,-454,-628,-1921,-1682,-2575,622,-1329,-2675,1870,1629,-813,-2043,-1183,691,-3318,-466,402,-1686,1526,1142,-755,2261,-4209,1437,-149,-1096,-3061
ABalapappp	-516	0	-735,-989,3152,-88,1068,-1217,858,-944,-3120,-4720,-4514,824,463,-914,-111,1707,-1284,-224,-1560,-251,1394,-473,-1891,-1834,1171,2516,-916,-1535,-783
ABalapp	52	0	2607,-2345,143,-126,271,-1238,1125,-718,39,117,-903,-1364,1436,150,-526,1972,-507,92,-556,626,1024,791,-1959,1106
ABalappa	456	0	3865,3180,-684,-222,1747,1608,54,1813,107,222,1610,900,2163,-997,763,1621,-104,758,69,-212,-996,54,204,446,-373,116,1484,977,-1914,1194,-192,-2246,-1954
ABalappaa	473	0	843,-28,786,27,218,-460,1043,2124,1354,4046,-1026,-257,2658,236,-893,1854,1665,1450,1849,-54,-362,1173,-839,1256,-1407,-413,2390,355,2078,-413,-4553,-3372,176,-1827,-352,1622,2315,2394,2963,-4128,2631,-1686,2016,1370
ABalappaaa	245	0	-1381,2041,3393,-1018,-1817,1843,-321,3333,-2455,568,2150,-1209,-1166,3094,-332,-66,-2489
ABalappaap	-559	0	-940,-3803,-3439,-3012,1138,-1066,-2816,113,744,1236,3478,-2265,-1073,-660,2216,-673,1323
ABalappap	181	0	-149,-1144,1519,999,34,-602,1046,-4158,605,850,-856,646,1648,-63,-1417,5710,-878,983,-2034,1503,952,1233,-1678,-1327,2041,2714,1047,29,478,-346,-1326,737,1438,-4476,255,-718,1409
ABalappapa	53	0	282,1970,-4491,1082,272,-2216,-85,2210,-1781,-1291,-834,-5252,1526,3343,689,-1308,-1298,1444,-871,2130,5076,1050,119,-484
ABalappapp	233	0	-1977,449,-2068,2298,59,2700,2374,2363,2205,1075,-3257,694,-2061,706,1602,1129,-2507,-363,1476,890,-1546,285,-856,-68
ABalappp	-325	0	-613,-3960,342,-360,-283,-1386,-1217,1225,-2570,373,112,-4296,832,-369,2482,946,1904,1241,-1862,-224,568,243,-984,-1519,-1781,-418,2807
ABalapppa	-2	0	-645,1431,727,846,1222,-6495,1014,1795,-1599,240,-2581,-908,-1850,-1319,-1602,573,-1527,1147,387,-279,1855,-2598,363,530,3212,666,-2804,564,215,364,1521,463,-48,2840,1972,2445,-2223
ABalapppaa	-432	0	323,-996,361,1286,-2530,655,-25,-898,490,-1063,-1575,-2354,2092,40,2224,668,-407,-5292,-2748,2142,-507,-2363,977,304,-1332,-4879,658,1375,2886,-2481
ABalapppap	-845	0	-2050,-245,-124,-3314,3303,2813,-604,-1538,1697,-4529,2344,216,-1901,4268,-3915,-2738,-310,-1267,-2393,-56,-3513,-2059,-2581,-588,-1762,2077,981,-1127,-1942,-4493
ABalapppp	-170	0	667,1679,-1377,1643,-399,-360,-2,-1671,673,-1548,-1669,2123,628,-1010,-3221,-431,-1846,-501,-412,-1120,1330,-2602,1142,555,-1591,566,627,1598,2220,154,-9,-2022,858,1674,-2311
ABalappppa	-890	0	-1122,2805,2186,-996,65,-3486,-2273,-881,-345,-1023,1373,-225,-71,-1047,-2257,-2585,-1496,-1562,-2535,-357,-374,-964,-235,-3312,2593,-989,-650,-859,-2306,-3229,-1094,-1230
ABalappppp	577	0	-413,670,2135,1312,697,-196,772,2476,-2432,-478,374,2601,1286,2617,3467,3075,412,419,-36,-448,1485,1258,-815,-586,-1266,2796,924,-2172,444,1276,-910,-2266
ABalp	-1401	0	-255,-1063,-706,-1433,-1729,-1851,-2337,-2462,-586,-1776,-1613,-1301,-1447,-1297,-1157
