cell_name	average_expression	binary_call	time_point_expression
AB	-1112	0	-363,-140,285,-667,-2635,-1210,-1726,-2217,-1320,-1109,-1128
ABa	-1200	0	-1721,1263,-1912,-1961,-961,-965,-1428,-1774,-1431,-1011,-1299
ABal	-2134	0	-888,-382,-975,-2124,-3301,-2594,-2565,-3010,-3140,-2970,-1907,-1758
ABala	-2168	0	-2635,-2797,-2122,-691,-2671,363,-2118,-3693,-2244,-3329,-1477,-2629,-1959,-2087,-2434
ABalaa	-995	0	-3865,-1911,-4,-1405,-227,-1054,-593,-151,-2423,-2063,-1952,50,144,-1049,-967,475,1418,537,-1857,-2994
ABalaaa	121	0	-187,1332,1985,1027,-1796,453,1106,954,548,-1390,-134,404,931,-1198,325,417,-1298,-1042,392,1338,-85,-2044,728,760,-504
ABalaaaa	-789	0	-1241,200,-825,1472,-1789,678,-423,-3463,-2351,-433,-1396,2092,-600,265,92,-236,850,-3752,-424,-1075,714,-3463,-1530,-1458,-30,-2127,-2094,341,-1184,-145,-1133
ABalaaaal	-433	0	316,-1634,-1361,-1610,-2870,-180,-1427,-139,2266,-1086,-1420,-752,1968,-2142,1856,171,-2598,1058,850,162,-1029,-957,1454,-2031,-791,-2895,441,2645,2435,-2512,-2151,-59,-239,1374,-2257
ABalaaaala	-260	0	50,-1995,934,630,-903,1095,2280,1995,-110,-2562,-137,-1864,2828,-3333,138,-63,-502,1734,-1708,-3740,-1959,-1606,71,1430,767,1054,-968,1110,-2203
ABalaaaalp	-870	0	334,-499,-3728,1178,433,-79,-5582,2856,3142,-3051,625,-1320,-3873,459,-862,1728,-3072,1076,-356,-644,-1089,509,258,955,-4278,-1182,-4099,-329,-4739
ABalaaaar	-316	0	690,159,-496,-1413,-603,1495,2083,227,-661,-82,-999,-2872,636,-1416,-992,225,295,-952,-2161,-1437,-705,3843,-1002,-3148,-159,941,-106,2778,-859,-608,2484,-827,-1746,-4292,856,-175,-2824,1799
ABalaaaarl	32	0	-2347,2029,-1404,-29,-377,4493,-2133,-55,-5832,-2205,1172,1044,455,832,1142,-1300,-3887,-851,2147,5351,3180,-856,252,-1167,722,452
ABalaaaarr	-640	0	-1367,3165,-1420,-1509,-3768,-2438,-6566,1304,947,116,628,-396,-882,701,-1305,21,-2808,528,55,-1373,1149,-1735,-2745,-2258,4617,704
ABalaaap	-844	0	-624,-1110,-1892,-1823,-1165,-1143,-2489,1023,2123,-1967,-2087,330,603,669,-2837,-1015,279,-937,688,0,-2204,-1275,-2049,-2633,-1129,-340,-2672,2039
ABalaaapa	-1243	0	-1708,-534,487,-3736,-1503,-1153,-1825,-214,-2699,3340,-2204,-1417,-2310,1041,-412,-2146,-359,-634,-735,-3161,-1817,1410,1816,-1687,1127,839,-4622,-3154,-1974,-1719,-2305,-1147,-1893,-898,-5584
ABalaaapal	-319	0	-119,435,798,2718,-1070,-1485,-957,-3636,-1369,578,2476,-1867,-3346,-3017,-3098,-2246,-2539,2952,-482,3259,1104,1151,559,-1817,1029,-1203,2598,-1851,-1265,-2436,2650,1295
ABalaaapar	379	0	706,756,-233,-447,-379,-134,1914,-1119,1089,1398,2414,1536,-2939,-572,-3705,5736,-1667,391,809,54,-31,-1877,107,441,2708,5449,1687,-934,-939,-230,-459,602
ABalaaapp	-1144	0	2742,2424,-1337,1011,-3140,134,1505,-1195,-170,-1590,-1971,-1199,-4009,-465,-3813,-2278,-2698,-784,-496,-4048,-2893,-1668,-409,-1860,-978,349,-1330,-1435,-1424,85,-1072,-2372,-1449,-2143,-71
ABalaaappl	-262	0	2817,-744,-2875,-2571,-4771,1013,391,5446,1035,-984,2737,491,-1368,1375,-1333,-1336,59,409,-67,-1058,-2165,2130,2154,1789,-2102,-4567,-1737,-793,-3166,177,1011,233
