cell_name	average_expression	binary_call	time_point_expression
AB	-376	0	-405,-1252,-786,-322,887
ABa	-1162	0	-189,-861,-1631,-2172,-101,-867,-2108,-1502,-1493,-1044,-811
ABal	-856	0	670,-1112,-2014,-823,-806,1,-2553,-1360,-1657,-933,-148,468
ABala	-1156	0	-175,-373,-1861,-1299,-1772,-1046,-802,-877,-1205,-2114,-1562,-693,-1252
ABalaa	-301	0	597,-2509,-1451,-1716,391,-1695,672,803,-609,-633,222,-1250,651,-93,654,-101,-2023,694,882,312,-118
ABalaaa	736	0	-2631,2366,680,1477,1814,1937,146,1852,1207,2140,1077,-641,1690,-1271,1808,2116,986,41,-333,1105,-204,883,-1315
ABalaaaa	425	0	781,-282,1055,508,172,294,960,3842,-2128,1208,1248,301,480,1026,906,1110,1027,-1204,-307,-1225,336,1360,51,951,324,902,377,-1255,-612,-38,1463,-285,455,-57,1146
ABalaaaal	61	0	-1012,-3171,1508,-1342,-3951,1005,-637,2748,1857,1026,427,-3616,1973,-588,2361,-596,-1180,1352,1008,-784,672,1302,-123,2606,349,2410,1473,218,-2178,-123,-95,623,-2425,-3033,590,1559
ABalaaaala	231	0	-1054,1446,1841,-1731,604,1837,2499,1177,-2266,-1673,-836,-3721,652,2500,1407,-4402,969,-1376,-3816,2296,3108,2509,1897,1685
ABalaaaalp	-456	0	1576,-742,1416,565,-1708,-4549,-186,531,-38,446,926,1119,-2950,1777,-2244,303,556,116,-1260,-2065,-687,-2079,-827,-929
ABalaaaar	160	0	-1137,3190,-836,588,-2194,2758,1659,-1677,150,4419,4654,-1961,1734,-509,325,1432,-1356,-3535,2574,2147,1306,-846,-430,139,-1302,664,2848,-2319,-518,-961,-599,83,-218,-1556,-636,575,-2737
ABalaaaarl	513	0	492,-1760,2461,-3317,685,-517,1247,1932,2924,3274,51,2202,431,360,-2352,-861,3621,667,-1713,-171,558,1568,15
ABalaaaarr	446	0	2633,472,1135,63,-2354,3251,-1652,-412,2692,-2207,-698,1503,2333,-1153,204,1534,-1956,2097,1385,847,2059,-570,-951
ABalaaap	-569	0	169,-922,2062,186,-1179,159,-1565,-8,-2592,978,-1356,1284,412,-2990,-1808,-1066,-1966,-175,-3809,1617,424,573,1557,-786,-753,-539,-1586,-1078,-1751
ABalaaapa	-346	0	373,2204,2172,-1938,326,-287,-2874,-1077,-1604,-487,-687,-774,272,3922,1262,3742,-1171,2056,-1229,-2298,-516,-851,334,-2035,877,-3207,-563,-3012,1156,-3657,1487,-1896,-1316,107,-353,-884,-380
ABalaaapal	-136	0	-1373,-1812,-1473,-386,-237,-4261,4415,-1,850,265,-770,-1663,-866,-1017,624,2705,-959,-953,28,-795,-429,-1173,1345,1166,3411,643,-2231,-643,1632
ABalaaapar	94	0	921,3782,-2503,2885,471,3129,2055,-1414,-2321,-3741,-1857,-728,5962,-1059,1043,-1791,-602,1446,-745,-2806,-2297,1076,-630,1781,-497,2406,-2641,3001,-1612
ABalaaapp	-828	0	-979,-571,-1930,-1826,1542,852,-224,79,1283,1269,-2500,194,-556,-484,442,-734,-1932,718,-120,-1673,-927,748,-1314,1179,-2811,-3444,-105,1040,-1238,-1477,-668,-3028,-3626,-4575,-517,-1890
ABalaaappl	250	0	-1476,-971,-4033,1632,-1897,-651,2863,-111,4525,-1466,-1067,28,-1046,-3981,633,1413,1638,4863,1508,569,930,-65,1896,-1517,2755,-992,-1344,2286,1954,-1366
ABalaaappr	-366	0	915,832,5643,-986,-752,1635,830,790,1149,-615,-1599,-1819,-1973,1410,-308,-3218,-5058,408,-119,1814,-2032,-767,-2418,-476,-1727,474,-320,-1061,1606,-3246
ABalaap	474	0	-3255,-1073,-436,2273,1244,560,2273,241,2315,2842,947,2022,3143,-259,-782,-723,-752,-595,309,979,131,1063,352,-1439
ABalaapa	-8	0	2804,2013,-1709,-2323,178,-202,-1209,-1164,-438,-1337,-257,-2469,1628,-1627,687,-988,-1817,-1862,-939,-1121,-688,1509,2785,177,1528,2876,644,3625,677,-625,1065,-532,-1139
ABalaapaa	-255	0	-1107,4268,2156,404,451,-4469,-964,-2147,887,-64,858,-1497,-2877,-860,868,883,-303,1503,-2397,-1500,1241,873,-408,-1087,275,868,-1844,2445,-2200,4110,-2438,573,-2359,-1357,-547,308,-1534,-861,-389,-6,-205
ABalaapaaa	532	0	-1455,2511,2809,-2355,516,-1440,2689,354,-2083,-295,478,4527,-514,669,3538,204,-701,1164,-1088,1103
ABalaapaap	-584	0	-2103,-2142,445,22,-1429,-1357,-2184,-3136,-562,1037,-182,1430,2929,-2331,-453,-2983,-1674,-1066,1101,2966
ABalaapap	-101	0	-1151,1487,15,-392,1692,2152,2932,643,2226,-193,-454,-460,-989,-1085,-1361,-433,-3557,-1541,-540,-890,-18,839,-1744,-957,-649,-1123,194,-11,1243,-2130,-176,1551,-2466,-71,-884,2482,-1864,-20,1903,1764
ABalaapapa	803	0	-891,3584,813,-3406,2667,-622,1000,2926,3441,1013,-959,531,-1064,-677,469,6051,-1934,1914,-146,2328,-175
