cell_name	average_expression	binary_call	time_point_expression
ABa	-957	0	-1363,-1287,-940,-239
ABal	-1274	0	-847,-1761,-2478,-355,-1658,-971,-1475,-155,-1756,-1742,-812
ABala	-1384	0	-80,-1336,272,-2514,-612,-1555,-1467,-2062,-1114,-1843,-1761,-1438,-2476
ABalaa	-1013	0	-848,677,-1622,-600,-1066,-2348,48,-841,-733,-725,-1989,-954,-206,-560,75,-3494,-1824,-1995,-248
ABalaaa	-1420	0	-3116,1553,-860,-2010,-2323,-2161,-1132,-1850,-251,-1205,-321,-1256,-1789,-2423,-2074,-1444,-1405,-301,-1499,-2129,435,-3678
ABalaaaa	-1378	0	-2666,844,-289,-1749,1649,984,-2968,-3369,-3540,-59,419,-2055,-2362,-1228,-4868,-1524,-20,-1060,-1380,-709,-715,-1161,82,-1416,-3385,-1023,-476,-2887,-1587,-2011,-2188
ABalaaaal	-1201	0	-2468,857,-903,911,-53,-5539,-2582,-1374,325,-2678,-1271,3240,-2663,-2642,1414,-1894,-1762,-2435,-175,1437,-2649,-1025,423,-2504,28,-1539,-1317,-1959,-1284,-1751,-2594,-2016
ABalaaaala	-1874	0	-1245,-1627,1285,-1315,-2631,1842,-5847,-2450,-2767,-7583,-1690,-3991,-3030,-4841,-4655,442,289,2343,-2963,921,-2863,-973,240
ABalaaaalp	-1147	0	-3108,1768,-1124,430,1418,-382,-3139,18,1082,-445,-1107,-1089,-2702,-1411,-2024,-4546,-1747,855,-812,584,-2442,-5400,-1062
ABalaaaar	-1661	0	-2462,1344,-1380,-4751,-4017,-4356,684,-713,-2493,619,-2919,-1737,-2401,-595,-836,-913,-4092,-3355,-1405,-1803,-1434,-1977,1399,-1748,4333,685,-659,-818,-2107,-2808,-3924,-4099,-2509,-3212
ABalaaaarl	-2481	0	-3566,0,-5389,-1928,-2812,-2962,-4982,-2671,-1684,2860,2146,552,-1935,-5384,-6397,-3451,-1866,-2457,-1350,-2186,-6638
ABalaaaarr	-1328	0	-2707,7513,4336,-3596,-2974,-4260,-1478,-2053,-4517,-2620,-3818,-266,-340,-2455,-2134,2518,-276,-2087,-4186,-932,-1564
ABalaaap	-854	0	2724,-1307,-719,-1322,-310,-35,-1248,-1580,-984,266,-757,-1613,-2106,-1615,-560,-2145,510,-933,-1974,-1378,-4228,1252,767,-1473,-1173,-253
ABalaaapa	-1271	0	838,-689,-888,-2315,-2662,-1090,1846,-2548,838,1625,-774,-1225,375,-1936,-336,-3277,-1209,248,-2821,-4349,-592,-3367,-1095,996,-3051,-2809,-1396,-275,-1961,-2266,-2552,-2029,-1205
ABalaaapal	-1311	0	-641,2666,569,-3258,-2366,-845,1118,-1536,-1520,567,-1407,-1717,-1986,987,-3797,-1531,-407,-1572,-4447,-4059,1066,-383,-3473,-1112,-1735,-2051,-2535
ABalaaapar	-485	0	-1809,-1019,-1771,-269,-2291,-2700,2696,-2171,4197,-164,-2305,-122,2728,2514,2787,-4461,3990,-1175,-1603,-346,-1283,-2236,-3385,1956,-1702,8,-3157
ABalaaapp	-698	0	2678,-2715,-490,616,1850,-684,15,1172,-2217,-1865,929,1247,-1466,2338,56,-2254,-285,2116,-126,-3095,-1131,-4926,-1463,-3149,-298,132,-2137,115,-2099,-672,-3281,-31,-2769,166
ABalaaappl	-1040	0	1666,-1355,3154,-532,-3699,-5860,-371,108,2727,612,1184,470,-2802,-2651,783,-1679,0,-1788,-4091,128,-490,-1993,-1389,-5102,-884,-3180
ABalaaappr	-609	0	-2243,-4180,-274,338,302,-645,-411,278,667,-2907,-895,-632,-5647,-5270,-1610,-1799,2405,636,1103,989,-2824,1780,2171,3536,-1525,830
ABalaap	-1197	0	788,-240,-987,-2551,-1619,-1964,-1541,-1719,-714,-1140,-749,-1498,-375,-525,-864,-2935,-959,-1965,-902,-1924,-921,-993,-1239
ABalaapa	-940	0	403,-1578,-2232,-192,-1110,-3762,-2561,-3105,-2836,-1087,-911,-2,1309,1060,-219,-1929,-314,-1861,-1603,-2136,1389,2566,741,-1380,-1950,-2195,511,-196,-1199,-2295,-589,-833
ABalaapaa	-1073	0	-197,2106,-766,1233,255,-2346,-1058,258,-3301,1093,-2852,2042,-541,-893,-1980,262,-1547,86,-3160,-905,743,-1881,-2902,-1879,397,-2576,-3562,15,-2916,-2215,-2248,-2325,-2668,-56,-3146,-28,-249
ABalaapaaa	-1346	0	-1337,-3465,-1636,3639,-1152,1592,-1483,-1732,-1483,-2177,-3931,1359,-5685,-552,-2948,-550
ABalaapaap	-995	0	-1567,2437,641,-766,-1360,-4373,122,-3591,-2079,1128,44,673,-813,-447,-4743,-1232
ABalaapap	-419	0	-1142,-995,-3195,-2108,-112,-2644,230,-69,-4107,327,-2400,609,1609,-3533,-2919,-469,-218,462,697,1058,165,-1384,-1536,-1829,993,-2257,98,1578,1802,23,1783,1098,1120,3027
ABalaapapa	300	0	-2597,-1764,-3543,3262,-2351,-1510,2067,2411,2304,-2501,-193,4731,1912,-1040,-2750,-540,-276,3840,4242
ABalaapapp	-364	0	-1079,1703,787,2460,-2978,1522,1321,3,206,-2433,870,1538,-3034,-3041,-921,-255,-1511,-759,-1316
ABalaapp	-1061	0	1159,959,-1032,-745,-1272,-2404,575,-2941,-3000,-1480,-1879,-419,160,-2569,-238,-3733,-2825,-381,-135,-1301,-2329,288,-258,-864,-58,-856
ABalaappa	-898	0	-1988,-973,-2014,-2074,1083,-1528,1440,580,-703,-1642,-550,1891,1928,168,-301,1090,-1174,2,-3540,1469,2140,-1367,-154,-1635,729,-2686,-2800,-2427,300,-3246,-2980,-4831,-1279,-3280,-909,-485,-1488
ABalaappaa	76	0	-1143,-3363,-3217,-1964,457,-338,5785,-2793,3345,1494,93,167,-1691,277,-2181,248,1500,-407,-538,2928,2021,997
ABalaappap	-637	0	-256,-3278,638,-2900,-1324,1120,-2870,-826,-491,5330,1407,-282,-3898,-1702,-174,-446,150,986,-1195,247,-2793,-1448
ABalaappp	-313	0	190,-281,1869,-1256,-24,-4191,-1053,-74,312,3494,-79,-489,-920,-1894,2107,1945,-631,-1197,-1105,-280,-371,-38,-2464,613,1150,-1522,1278,-2377,203,26,-3294,238,-220
ABalaapppa	-1615	0	-3382,-2106,-743,-2136,-2548,122,-1371,-2461,-3908,-2654,-2947,-920,-1973,-1791,-990,-2110,313,-508,-5163,2338,99,-2358,-277,459,-63,-4918
ABalaapppp	-1004	0	1393,1172,-3588,-2422,-1796,49,13,-2139,-2395,-6002,-28,563,-96,-4157,-1465,-3517,-1725,-2347,2541,-304,-2278,798,-621,-1932,2653,1527
ABalap	-1243	0	-569,-1657,-1934,-633,-41,-1649,-2221,-1733,-710,-3166,-905,-515,-1627,155,-1909,-1812,-382,-1059
ABalapa	-864	0	-581,-1067,39,-1170,237,-326,-1291,-1158,-983,-161,-1547,-1815,-2867,-1213,-1198,-2770,893,-127,-1389,-676,-630,782
ABalapaa	-493	0	-1953,-133,1324,1681,-923,-1459,-2520,1731,-1058,808,356,-1780,-1805,-231,-696,-1179,-2351,-1293,-1203,525,-335,-81,418,-503,-1049,899
ABalapaaa	-425	0	-258,-1805,-3413,-1903,1747,495,1206,-976,-1515,1923,2361,-680,2801,-2204,2139,-204,2286,-720,-3488,-2343,-1642,282,300,-1873,-2309,-2833,4,-3361,-626,-2208,-382,856,402,-905,-27,2101,1029
ABalapaaaa	263	0	2414,4225,-610,-617,-2015,-601,-52,-1291,1513,1279,-2296,1071,1759,-2035,3043,-1162,-1036,-2346,4163,-2197,448,1831,-490,1305
