cell_name	average_expression	binary_call	time_point_expression
AB	-654	0	-1384,-892,-621,-484,-1040,5,-161
ABa	-927	0	-1420,-2178,-1254,-439,-1169,-1217,-455,227,-853,-343,-1096
ABal	-1900	0	-2075,-1865,-2425,-1508,-1816,-1294,-1777,-1652,-2449,-1854,-2190
ABala	-1184	0	-2119,-1148,-935,-1844,-1571,-1535,-1720,27,-1300,-2480,-589,-1851,-650,1138
ABalaa	-1020	0	745,-918,-1796,-1242,-293,-1917,-675,-1176,-738,-947,-2087,-608,-1457,-1266,-1405,-383,-2893,-1072,-1369,1088
ABalaaa	-954	0	-337,-1448,-1851,-611,-563,-422,-1888,12,-772,-156,-941,-2121,-2772,-2304,603,-316,-1100,103,-3039,-1404,-402,447,-664
ABalaaaa	-304	0	-1683,1021,1508,-238,3186,1563,706,1030,-123,2941,-2111,-795,55,1000,-2078,1280,-192,-471,-876,21,-1160,-1065,-115,-2416,-862,-1712,-1324,-1939,2181,-3104,-2235,-1710
ABalaaaal	-626	0	135,761,-2315,-1677,-253,-930,302,333,326,2062,-570,707,-1985,2156,507,-2852,-1669,-1693,-1733,-1528,-37,1672,1165,-312,-3820,-406,-93,-1392,-2822,-809,-4852,383,-123,-785,165,-881,-125,-816
ABalaaaala	-1165	0	-2025,3177,-2559,-3103,2550,-1893,309,1117,-1155,-59,-892,-3279,-2871,-917,109,-2537,-3914,1145,-444,-3461,676,-1137,-4660,-2144
ABalaaaalp	-569	0	1831,-995,3466,376,-6403,-2339,-2084,-2779,-2327,-1042,-500,951,-1224,-2451,-2308,2342,-761,1274,-70,2625,-3827,-217,-510,3318
ABalaaaar	-1560	0	-4467,1693,974,3035,-2269,-641,-775,1353,987,-311,114,331,-1033,1070,-555,-3832,1223,-2676,-775,-930,-1616,-394,-3220,-344,-1804,-774,-2187,-4326,-2276,-1093,-4357,-1935,-2176,-4618,-3102,-3158,-3984,-2646,-3497,-7400
ABalaaaarl	-1053	0	-5985,-2548,-1688,-4738,-3360,843,-2899,-5124,-4430,-693,1647,996,-4961,-3295,3023,2097,-644,7939,1322,-789,-2282,2406
ABalaaaarr	-3212	0	-6947,-7074,-2405,-5811,-5629,-3136,-7759,-21,-477,-1210,-1726,-3686,1072,-3954,-1029,2351,-649,-4247,-7152,-1875,-3685,-5622
ABalaaap	-962	0	-1655,-1700,-1516,-1322,-330,-1794,-1821,-3278,-1832,-1842,-1727,767,-1359,1606,-1761,-1911,-1548,497,-2428,929,-911,356,-1042,704,-1655,-629,-20,290
ABalaaapa	-503	0	764,1398,-488,1432,2209,1295,200,4468,-3179,1309,-768,-2177,123,-2089,-1167,-636,-3104,580,-2720,388,-48,292,-1225,-395,638,-1885,-1042,-764,-1503,-1239,-1924,374,-1982,-2534,-3897,1190
ABalaaapal	-1227	0	-5301,-17,118,-2325,2464,-594,88,783,-4748,-1931,-818,1124,-2360,-4446,-2229,-2301,-181,704,-818,-3266,-1947,-1553,1189,1512,-339,-2347,435,-3051,-3296,-1362
ABalaaapar	-792	0	-4800,-274,2308,-1250,-3988,585,2690,-1325,-1461,-3550,3472,2285,115,-1332,-1174,-2982,-943,-2032,-3119,1892,-909,-632,1468,-2730,-2274,-4986,2521,1301,-3511,888
ABalaaapp	-775	0	888,-598,-1598,359,2392,-26,1375,-2704,-853,-2267,-429,139,-1085,-51,-1567,-734,-1275,-2103,641,-2678,-174,1113,-1335,639,-4732,-866,-2708,-1354,870,-745,-1879,867,-3756,-609,-273,-799
ABalaaappl	-130	0	-801,-1034,1544,-191,-1392,-192,1216,-2152,1145,-2188,4369,4352,-5891,2681,162,3395,-2871,1726,-3015,-2054,572,-3057,150,-1412,452,143,-755,6554,-3049,-2320
