cell_name	average_expression	binary_call	time_point_expression
ABa	-2080	0	-1445,-1042,-2324,-2398,-2817,-2241,-1965,-2412
ABal	-1596	0	-1602,-3487,387,-1544,-1312,-430,-997,-2003,-2555,-1608,-2467,-1535
ABala	-1957	0	-514,-1100,-2515,-1928,-1995,-1911,-2140,-3679,-1985,-1384,-2001,-2328
ABalaa	-2249	0	-1884,-3415,-1106,-2197,-4236,-979,-1922,-1918,-5293,-1040,-1952,-1205,-1866,-2047,-3571,-448,-2818,-2203,-3095,-1787
ABalaaa	-2067	0	-1483,-1278,-2415,-1595,-2819,-3064,-2283,-1016,-3437,-2830,327,-2769,-3859,-481,-1713,-2609,-182,-3333,1039,-2679,-3685,-3455,-1070,-2922
ABalaaaa	-1540	0	-3033,38,-2792,-997,635,-1908,428,-4378,-2257,-3246,42,-3977,-430,-770,-4067,-1799,883,-4892,33,-3556,-2663,-389,-156,-538,-999,-527,-121,-844,-274,-2509,-2679
ABalaaaal	-1710	0	-3344,1681,-1679,-1506,-99,936,-2626,-492,1112,69,-2089,-3052,-3322,490,-786,-2919,-2450,-3087,-896,-3473,404,-933,-4746,530,-3745,-3299,-4328,-1374,-1150,1079,274,-3131,-2974,-1929,-2490,1744,-6836,-4539
ABalaaaala	-609	0	-1119,-614,1660,1422,4413,-3713,-5603,-1718,1988,-248,-6106,1723,4554,-2085,3633,-3523,-1005,-1535,-3004,-1663,-2242,-2380,3258,-1646,328
ABalaaaalp	-936	0	-3433,1339,-110,-878,1351,-6391,1596,1784,2180,-3112,-1670,210,2743,-1577,-3800,120,-2286,765,-2295,-819,1168,-791,-4403,-1598,-3504
ABalaaaar	-2091	0	-1017,-453,-4319,-4130,779,-1635,-3606,-7173,-4346,538,-67,-1442,-3786,-3978,-575,-2389,-2720,-1323,-2366,-3114,-1080,-2665,-1682,-1476,-4852,-1199,463,-871,-2996,-2553,-3044,-1757,-238,737,220,-1959,-5242,-2245,-2439,-1652
ABalaaaarl	-1818	0	-2776,-3222,-1762,22,-4357,-1303,2082,-1159,-1772,-497,1083,-2394,-4545,-1309,1252,-5764,-156,1962,-764,-4173,-5035,-4528,-2690
ABalaaaarr	-2651	0	-3581,681,-1085,5033,-2226,-4643,-6151,-9459,-2414,-2533,-3116,-615,-5281,-4242,-3864,-3436,-3866,-970,-3865,-2970,512,-2403,-478
ABalaaap	-1108	0	1866,-2379,-2322,340,-1701,-844,-2798,-551,-3496,-274,-1708,-2037,-2479,236,-1922,548,-1515,-916,-546,-580,-1141,324,1163,-2473,-2045,-635,-1958,-1172
