cell_name	average_expression	binary_call	time_point_expression
ABa	-1491	0	-2232,-1415,-826
ABal	-1537	0	-1481,-1343,-2423,-1089,-585,-1288,-720,-1707,-1621,-2761,-1885
ABala	-1627	0	-1576,-2670,-586,-1294,-1371,-2566,-1621,-674,-1280,-2015,-1833,-1800,-1867
ABalaa	-939	0	-342,-1298,495,-625,-1445,-1266,-1326,-1708,-870,-2591,-668,-1432,-352,-1568,817,-1392,-884,-1024,-355
ABalaaa	-171	0	-717,1427,-1479,-1995,2712,-1444,53,301,106,420,-1042,574,-156,423,-199,-593,-645,-255,-65,-675,-352
ABalaaaa	77	0	-587,2018,1775,-7,3080,-710,2094,1355,-370,1812,382,927,61,-357,-1215,554,1209,-2442,169,933,-1324,409,-2813,523,-315,1138,-1505,-1029,-3536
ABalaaaal	-645	0	1153,-1187,1385,347,1631,-2799,-1683,2482,2961,-819,-1330,795,-139,2736,272,-2276,1139,-847,-2182,-1957,-1949,1510,1389,-989,-672,-4078,441,-1630,-1459,-4792,-759,-2313,-3174,-3153
ABalaaaala	-1268	0	-125,-1215,376,3704,-408,-2741,-4104,-4078,-3278,-4306,-1422,-5551,-1092,-3358,-2778,-2849,668,-253,-3400,-35,-941,3882,-3560,-3167,748,-2169,-408,1000,1490,1319
ABalaaaalp	-1347	0	-3803,-1693,450,-1368,-1285,-4652,-2824,-3336,-3828,2733,-844,-2058,1016,-2422,-1383,589,-76,-958,943,-3102,-1489,-6598,-3013,-2420,226,879,1302,69,1381,-2838
ABalaaaar	-1397	0	-125,135,-3207,3309,867,7260,-1009,-2773,-1178,-632,-2632,-3037,-2046,-1567,510,-1578,-256,-1042,1787,-1734,121,-992,1093,-1513,-3144,-1830,482,-787,-4926,-1634,-5745,-4054,-5865,-1972,-4540,-2975,-4460
ABalaaaarl	-2746	0	694,-4946,-2025,-1190,-2527,-4979,-5589,-3160,316,-4686,9461,-8263,4603,2468,2765,-8007,-3557,-4603,-2629,-3304,-7211,-5644,-10090,-2759,-5396,-1384,-2497
ABalaaaarr	-3015	0	-1183,-5609,-106,-736,-4035,-6582,877,-2659,-5520,-6710,-4833,-747,-7205,-6421,-4223,-1756,-3709,-3717,-2689,-6588,-3440,-1666,1245,-226,68,-2452,-771
ABalaaap	-247	0	526,-1598,-977,373,312,-1549,63,1392,-1733,-1837,194,-261,-588,-481,1112,-378,-791,2658,238,-2570,263,1543,-2902,296,-914,1182
ABalaaapa	-808	0	489,-770,-669,-693,-409,1049,757,-1958,2065,-1051,-1442,-296,-346,-2723,143,-2542,335,-3977,-1679,764,-3451,-991,-2943,-665,1411,-347,-2718,-375,1276,-2549,121,-2049,-434
ABalaaapal	372	0	561,-1937,1281,417,359,790,-223,1788,121,-1063,-2415,-1555,627,-743,-2203,-1705,-1142,-401,376,2739,2802,151,-1903,2690,-263,2681,-91,2181,4976,494,1017,52,403,1786
ABalaaapar	-544	0	-248,-1889,-882,-1056,-1218,-462,1062,-919,1358,-318,-2557,-3387,-7128,572,-334,44,385,-2094,-116,-523,-2500,4342,2194,2393,-1679,318,-2163,245,-989,2635,1406,-3600,-30,-1343
