cell_name	average_expression	binary_call	time_point_expression
ABalaapppa	-494	0	-2605,-812,-884,1184,-691,-360,-897,-536,-1412,-351,2933,-910,-115,-159,-2482,310,1469,-500,-1709,-2484,-1283,-2790,-2942,-3000,-234,8418
ABalaapppp	-347	0	-680,-955,-2320,712,194,-45,1690,-5778,-1502,1521,-2344,121,-844,-103,1591,100,1163,2779,-3491,1544,1176,-903,1222,270,-4307,169
ABalap	-1647	0	-1124,-2914,-582,-2261,-2414,-1634,-2270,-2377,-513,-3054,-779,-1056,-3268,-996,-2373,-799,-1923,-146,-1437,-1029
ABalapa	-1389	0	-1065,-2032,-596,-2168,-818,-2484,-129,-2122,1704,313,-979,-2882,-636,-2238,-1281,-804,-1659,-1587,-2306,-1577,-2469,-2751
ABalapaa	-1092	0	-517,-3524,-535,-3124,671,-2613,-755,-1123,-1755,776,-569,-3889,-1050,-680,-1387,-1207,-2380,-1943,-816,571,740,-1105,1310,-1937,-1541,402,-947,-1654
ABalapaaa	-345	0	-2226,-3045,-4232,-1907,1203,-962,1254,-1921,-2783,1622,-2852,-2131,-1624,-1815,1967,2999,1465,160,-112,-2022,-2426,-1285,1253,2038,1011,-2349,-2991,-352,-1881,1781,1355,1160,1941,2632,703,661,-510,2384,-1618
ABalapaaaa	1092	0	-4997,-200,1812,-837,3358,4687,1358,3812,4449,894,2316,2276,2106,295,-4153,822,1990,-29,-1920,2500,5426,-1799,960
ABalapaaap	192	0	-3628,1915,2106,-2373,-248,414,3219,1724,-2566,1043,5022,-5388,277,-2923,518,936,-634,-979,87,2186,1441,1276,994
ABalapaap	-445	0	-321,-2889,1545,-1236,1340,2646,-972,190,1017,-396,-1505,-2854,-97,1642,243,-2798,-1617,-697,-1528,932,1644,-3453,1134,-1607,549,-1837,-623,-2194,-922,-830,200,-2117,1521,1156,-1896,-737,901
ABalapaapa	1286	0	1908,852,-183,-381,1894,4830,-2258,-3825,1481,-775,-573,-884,1984,4287,-89,1514,3255,3953,-4125,4577,1072,4324,1425,4722,3165
ABalapaapp	-64	0	229,-1771,1395,-1214,4096,2386,2999,-125,3163,473,-384,2425,76,-6096,-5828,-4608,1911,1284,-1014,603,-875,3009,-3296,-304,-146
ABalapap	-1146	0	2143,1689,-2046,-2312,1168,-2237,-620,-263,-648,-596,-301,-876,228,1587,-4816,-2960,-1843,-729,-2274,-1793,-2245,-2766,-1645,-2104,-1224,-2319
ABalapapa	-1348	0	-3573,-211,449,-2781,1353,-346,-4366,-3535,-410,-2145,-4473,1321,-2684,-2545,-1644,-2446,608,1129,-1335,-1387,-375,-1961,181,-313,-515,-2121,-782,-3529,-119,-2185,-2602,1229,-3206,-3202,-371,170,543,-2559,-2003,-4246,1739
ABalapapaa	-293	0	3655,-7363,-773,-4626,84,-1621,-2734,309,-382,-559,1551,65,2391,-824,1718,1729,-1793,-887,55,199,793,1655,609
ABalapapap	-1539	0	-299,1714,-2856,-2129,-3864,-2119,2274,-2665,899,-1198,-503,-4896,-372,-1531,-1403,-3882,-1812,-2270,-3981,-2689,-443,50,-1429
ABalapapp	-1175	0	5489,1871,-1325,-3603,-2553,-1637,-1818,-251,-1037,-1919,-410,-2519,888,-108,-1078,-2920,-2672,-1954,-2128,-1122,-4814,-1214,-1215,-2407,-2111,1263,1219,-2778,-3216,510,-2380,452,1187,-3546,-1274
ABalapappa	-1961	0	-718,1907,-794,-1425,-1091,-1816,-2642,-3030,191,-3087,-3991,-2671,-3754,-1533,-3355,-2716,-1371,-1791,721,-1868,-2843,852,-1952,-3942,-4208,-2868,-2913,-1588,-2568
ABalapappp	-1475	0	1011,-1969,625,2973,-1385,-1530,-4249,-4726,-6030,1445,-4720,-707,-3193,1904,-3839,-3701,-673,-4800,2144,-5141,3787,-520,203,-3085,-3285,-2549,-590,1057,-1243
ABalapp	-852	0	-1477,-2531,-540,-417,1178,-1467,186,934,175,-1439,-1246,-1434,179,-1645,-1903,-2288,418,-77,-699,-1629,-2794,-235
ABalappa	-1445	0	1048,-3004,2185,-2329,-3242,-2599,-202,-2797,1817,-2626,1580,-3076,-1601,-1856,1526,-3195,-4381,-562,-2328,-2846,-3417,-638,-842,-1326,1109,-1817,-2232,-2612,-2118,408,-2819
ABalappaa	-889	0	-2973,1304,116,-663,1658,-1757,-890,-1557,1214,-773,2722,-1507,-4262,-5726,719,-1471,-1133,-1375,-1320,77,-1047,-11,-4245,-787,-24,-296,-1761,-805,-759,-98,1413,876,-1626,-141,-2320,-3800,2093,-1241,1246,-4313,-4610,1249,397
ABalappaaa	-140	0	-2243,-4495,61,1861,1251,2323,-1366,-1642,193,2397,1190,-2530,895,1405,-739,-801
ABalappaap	-789	0	-618,1168,-3176,1248,5220,747,-58,2178,-4459,-2334,-4346,-4891,-81,1624,-2091,-2754
ABalappap	-1806	0	-1728,-2857,-860,-3645,-256,-2719,-1293,-1931,-2179,-2738,2114,-2017,-2152,-2318,-3225,-3188,-1834,-795,-1529,-3052,-962,88,-52,-308,121,95,-776,229,-1732,-872,-3305,-5631,-4900,-1397,-5594
ABalappapa	-232	0	1917,-2028,-3544,477,-601,2069,1736,1399,4096,1927,2231,-1452,-2859,-4206,571,-3704,-1507,-4822,-142,-3646,3791,2671,-1132,1192
