cell_name	average_expression	binary_call	time_point_expression
AB	-493	0	-171,-643,-713,-1080,-1704,-90,951
ABa	-951	0	-701,-1348,-1062,-1306,-1392,-1917,-432,-1503,-464,-76,-261
ABal	-1070	0	-130,-619,465,-1536,-2268,-1183,-688,-1377,-1676,-2006,-1530,-298
ABala	-1384	0	-264,-1061,-844,-1961,-622,-1950,-675,-1576,-1949,-1366,-2093,-2081,-1556
ABalaa	-1213	0	-428,-567,-2191,-54,-1918,-915,-2146,-1366,-2223,-463,-1014,-575,-1386,-2505,-705,-1523,-805,-1132,-1665,-685
ABalaaa	-1575	0	-2995,-1088,-1226,-78,-265,-1553,-2153,-2213,-1760,-1089,-1989,-1804,-2204,-2556,-1872,-1479,-2272,-1702,-1636,-1628,427,-2204,-895
ABalaaaa	-603	0	-573,1919,-1678,-17,-769,-1019,-515,-564,19,-308,-1278,-1128,-1346,-3184,-490,-2884,1161,3574,-3307,-182,-203,38,187,-1144,-753,1626,946,-2775,-2063,-1922,-57
ABalaaaal	-749	0	-1269,-1261,-3518,-1139,-322,-1484,-1009,-1453,-2570,-3125,-3928,641,-1979,-482,3785,-101,1382,-2056,-1713,-903,-1902,53,1846,1008,142,-2079,55,-2726,88,-906,93,-2137,1116,-1905,1496,1293
ABalaaaala	20	0	1195,-633,2435,2238,-2173,1486,5634,-231,1009,-1932,206,-3026,-118,1047,346,-2439,-1843,1853,-1131,-2439,-550,478,275,-1913,-1321,1739,346
ABalaaaalp	-808	0	-3721,-53,-3464,549,-115,-285,-2477,-1039,1073,-2665,1615,-5063,-324,929,491,-2591,-1053,1968,-3446,-540,-1281,158,590,224,-75,-1909,694
ABalaaaar	-184	0	-1168,-1297,-2329,-1835,-236,-1859,1041,600,-922,153,1789,-1692,-398,-1764,184,2278,-723,161,-274,612,-891,-2115,-976,-2147,894,-862,-998,-1859,3188,1034,-2269,-490,-130,310,-1048,1515,301,4660,2386
ABalaaaarl	-67	0	-921,-907,1293,-2252,1443,551,-1897,4081,704,2342,-789,-2176,1415,481,-2435,3021,-870,-564,-564,-2159,-374,377,-2062,655
ABalaaaarr	-954	0	-1128,-576,1487,-4820,1129,-3393,-3481,1135,-2204,116,-1569,-1154,861,909,-289,1190,-3858,-2908,624,-3598,2049,-2001,-2112,699
ABalaaap	-1341	0	-657,-905,-3444,1066,-3128,-1769,-1522,-2197,-1415,-1089,-1840,-918,-1219,-2009,-407,-1275,-1689,-3042,-1882,-544,-2913,825,285,-1374,-976,-2491,-512,-505
ABalaaapa	-427	0	-557,-1996,-735,3110,3045,-1200,958,-1380,-3589,-62,-74,-3093,-311,690,2972,-295,-1883,-4600,-1723,-1287,915,-848,-1694,697,-1279,993,725,1075,417,-1178,-2311,-2322,-997,1012,1854
ABalaaapal	-1083	0	468,2,144,-2611,713,-2002,-1029,824,148,-1785,-1287,677,-2126,-2303,-1702,-2348,1169,-3160,931,-5316,-617,-824,23,-4378,-2632,-1942,-1028,-207,-1852,-3041,3531
ABalaaapar	227	0	-998,-992,-21,1784,173,3681,-87,1209,472,2190,3245,-267,271,1389,-3571,-522,-633,1062,3360,-1632,395,-1243,-637,-191,-1631,-1552,1471,388,-847,-358,1140
ABalaaapp	-789	0	-1211,-893,-1807,1135,-352,-2949,-2347,-3613,424,-574,-1476,-4551,433,619,460,-3418,-2178,-1605,158,-1119,-1068,1276,-1083,218,131,-1298,-1558,760,-1881,-78,2459,-624,2350,-2859,-339,50
ABalaaappl	-61	0	-3540,-788,1294,-1426,2821,2204,2721,-2988,-1099,916,446,1310,-14,-1259,-461,-1782,713,-674,-1941,-137,-1084,313,2350,864,179,803,-2382,-1210,1145,874
ABalaaappr	-2	0	1360,295,676,-531,-1938,1804,699,-843,-2461,1555,2464,-282,-1490,-1315,-2313,-825,3238,201,-528,-622,-1759,750,-1655,2117,2347,-224,-1359,1725,-678,-473
ABalaap	-1313	0	-102,-1155,629,-497,-367,-9,-640,-2652,-699,-1969,-795,-3268,-1332,-268,-379,-1798,-562,-1063,-1724,-1780,-3292,-3146,-1362,-3286
ABalaapa	-766	0	123,-2694,1395,-1530,902,-1950,-1198,2533,122,-1535,-789,-2542,-1070,-2458,-1815,-995,-1993,1536,42,1417,-704,-675,-584,-1344,-1317,-1334,-42,-860,-2778,-945,-655
ABalaapaa	-998	0	1463,-2255,-336,795,-397,1522,-1348,-2581,-778,-508,1451,-376,-1402,2045,-2950,1328,-3441,171,-599,-5019,554,-2133,-894,-1843,-1549,-1659,-2178,-802,-2484,-1982,-3405,998,-2723,1697,105,-2655,-948,-2076,177,-1660,-2233
ABalaapaaa	-260	0	-2548,-2319,759,-2709,1055,-2381,2606,-2200,2115,1211,679,-2,-663,942,-2563,-1786,-2536,4111,358,2876,-2463
