cell_name	average_expression	binary_call	time_point_expression
ABa	-1101	0	-1275,-1245,-1015,-1757,-1108,-730,-574
ABal	-1343	0	-558,-1082,-2038,-1654,-1231,-771,-1336,-1688,-2062,-915,-1438
ABala	-773	0	1207,-288,-32,-1791,89,-648,-1557,-1485,-499,-2241,-1035,-2020,-881,361
ABalaa	-318	0	-251,-458,-826,601,-886,253,1153,312,-74,-1572,-518,-609,-1454,197,136,-1612,443,-231,-651
ABalaaa	-351	0	1491,-182,-233,-355,1048,485,-876,-1117,1631,1496,79,-1357,1010,-475,-1470,-587,-1285,-2694,-1512,-182,-283,-1937,-770
ABalaaaa	-234	0	2799,173,1335,-1951,-1416,2602,-2378,-3685,-860,-3313,-1629,2610,295,180,-958,1829,2978,767,-1779,-1715,-2828,58,-1980,-718,-206,2926,1169,154,-883,-889,73
ABalaaaal	-440	0	723,-264,-1571,-2737,626,-1564,-3283,-664,-210,577,-675,-1577,14,-446,-2351,-151,2421,77,-657,-1631,-38,-1386,-1199,3706,103,-2084,-703,444,-1363,1154,1694,311,-1522,-731
ABalaaaala	148	0	-403,1392,-1132,-2043,2448,918,-3256,5118,214,-432,-954,-1617,-732,2235,-444,2918,-1813,315,3794,-2755,-1612,-1169,-1763,597,-1152,936,-1757,2590,2781,1827,-449
ABalaaaalp	303	0	794,2090,1768,958,1825,497,1247,-2414,3443,-893,1025,-1402,853,2664,-598,-1608,-262,-200,-2309,1693,-496,2695,-625,-2363,2922,-1488,543,-771,1281,-3211,1742
ABalaaaar	-172	0	172,127,599,3071,3583,1559,-319,337,-2299,-1813,-1939,-1159,-1358,200,2448,-879,2528,283,-1273,-1448,263,-1777,833,-2159,700,-855,464,-489,-1030,-2873,192,-712,-1561,2016,-1712,-1609,-627,1986
ABalaaaarl	-312	0	1750,895,-1976,-3936,-1751,-2116,4195,1679,792,163,-1288,1100,170,-1729,-5131,1294,-107,-1514,-1261,-1777,435,-905,97,254,-495,2822,-84
ABalaaaarr	-647	0	-1677,-3935,-4616,-373,657,-652,-133,-4757,763,2778,-1281,792,1788,-4938,1867,-1913,123,1226,1904,1737,-3338,-2079,-1686,3629,-797,-2514,-54
ABalaaap	-648	0	2289,-2035,-301,-779,-1174,-802,-2507,-123,51,-915,-1514,-3132,494,-30,-1111,-595,242,-2977,-839,-672,1341,-2677,-293,127,-446,-875,1766
ABalaaapa	-134	0	3841,2985,-952,-254,366,2576,-2403,1027,-1298,-2016,914,2840,-1319,1099,-2592,-2230,220,384,729,1641,-1132,-1093,131,1595,-957,-266,88,-2314,-255,-2448,427,2151,-1014,-1589,-2929,1115,-2011
ABalaaapal	-23	0	-623,-1834,-492,-96,-2221,320,2999,-4134,1146,3056,-1463,-1403,-2743,-1589,660,1356,-2790,-2391,455,856,2925,24,508,2511,-1326,4237,-617,3742,-1808,-191,-1765,1947
ABalaaapar	137	0	-1083,1331,-2457,-1328,-324,1346,-1657,-557,3733,2660,-251,2475,-833,129,-1620,1330,-536,-461,1182,843,-294,-4119,1313,72,-784,-2376,-490,1759,5190,71,-679,806
ABalaaapp	-447	0	1989,142,1116,-2054,-2818,1165,-1279,-1285,-1384,-2952,-2931,-2630,-1725,-879,-2076,-1781,-1062,172,1755,-1639,1045,1352,1925,-561,197,-3987,2306,-180,-760,1493,1505,727,-856,496,-187
ABalaaappl	-105	0	819,-2492,916,1126,-4763,2001,1474,-3264,-3209,-3147,3173,-1229,701,-926,-1231,-1682,1138,37,-443,-841,1555,361,2410,-274,592,7302,-421,-1602,495,-3102,364,-781,2335,-949
ABalaaappr	-229	0	-2177,3153,923,501,190,2051,-1961,-743,629,1332,-1862,-772,608,-1813,1667,-2780,-2453,-1883,-577,-3427,582,3770,2080,-2412,1058,2154,-1868,4407,-836,-1795,-2752,-1008,-2231,473
ABalaap	-730	0	760,-1445,787,559,-885,-2060,-393,-119,81,222,-310,-779,-1964,-2217,-29,561,-23,-2351,-1612,-2204,-84,-1159,-2134
ABalaapa	-994	0	445,-799,-738,71,-1529,-1885,1905,-203,-1881,-1883,-2981,-1370,983,1588,-375,-2795,-1432,-1897,-1758,958,-346,-1027,-2564,-1853,-1539,-1106,-1879,-481,-620,-2711,-1097
ABalaapaa	-354	0	-3045,-2019,134,3239,-1631,-1499,-1795,2734,-1824,243,-355,192,-60,-1230,-156,1954,-1480,-556,-2590,-2530,-2073,469,310,-385,-1829,-19,-2241,-1965,412,968,-227,-441,-1827,3757,1402,-791,391,2922
ABalaapaaa	670	0	-1502,704,535,-70,216,1007,307,-199,76,806,2116,2782,1366,-2747,43,-2217,-12,3338,-161,2260,-917,3449,1272,3069,546,1867,145
ABalaapaap	-3	0	-1857,1626,1325,2011,-1188,-496,-137,-578,-1204,2522,573,-199,-1016,2032,705,-1200,-1792,370,-2289,128,158,1132,2141,-2742,-2758,240,2399
ABalaapap	-289	0	1106,386,446,4387,2886,-3131,-550,-1060,449,-1617,-683,-2037,-3748,3011,-2626,-3491,1583,-1193,1072,-612,945,975,-1291,-1369,456,-856,-1604,-2578,2440,1529,1294,-869,806,-384,-13,-3463,-1301
ABalaapapa	229	0	-2279,2937,-288,1946,-1265,1353,-65,3181,3904,-5965,1141,3044,501,-1522,2243,-1869,3231,-2480,-777,-1531,-1904,2616,3179,-841,-1400,-616,836,-905
