cell_name	average_expression	binary_call	time_point_expression
AB	-622	0	-269,-975
ABa	-1640	0	-1899,-1898,-2361,-1332,-2019,-1490,-1538,-1166,-1301,-1399
ABal	-1440	0	-784,-771,-2066,-489,-1204,-2399,-2063,-2042,-1965,-1833,-221
ABala	-1442	0	-1162,-2071,-1742,-1933,-2196,-1227,-1854,653,-1707,-1495,-2744,-661,-351,-1698
ABalaa	-192	0	-371,-3722,-47,370,-168,-590,-418,1719,-799,-1028,163,1768,-595,126,-187,285,1001,382,-1530
ABalaaa	-243	0	-463,1766,140,980,239,1079,-975,-773,974,-120,543,-2144,1256,1661,-716,-996,583,-968,-3318,293,134,-1678,-3076
ABalaaaa	-141	0	-439,-1373,2215,-1883,-2376,25,-1494,-211,92,1719,493,-1067,-2075,-1156,-600,243,-3719,-1007,-2102,1076,1268,1204,1162,218,1215,2161,-403,1697,1022,-2041,611,-788,612,898
ABalaaaal	662	0	3404,1355,5230,1435,1428,71,3353,1785,-914,893,321,-2643,208,25,3502,-1999,697,3810,-320,1609,-2485,327,2632,375,922,-284,1248,1056,152,1678,-1676,-565,-543,-3577
ABalaaaala	-78	0	-1194,2068,3441,-312,-2046,996,-1124,-591,-405,-2158,-641,-2416,5274,1184,-1348,1613,-4040,1046,-1731,1882,-1162,97,-225
ABalaaaalp	204	0	1195,-1381,-862,-329,-616,2473,1341,-947,-1074,-2138,1395,2618,518,-595,1511,-1528,3380,-490,1343,619,1196,-1237,-1697
ABalaaaar	-27	0	-4176,-609,1245,1801,2807,-1581,235,1413,-62,2496,2542,-1284,269,2706,2749,706,-364,1135,-16,1916,-2693,-2142,-75,-371,-1923,435,-1705,-751,-1032,264,-219,-169,-845,357,-2708,-549,-793
ABalaaaarl	-795	0	1660,944,-2429,-101,-1762,-304,-2741,44,-748,-3691,-192,-3403,-4021,-1566,1320,328,916,-2725,1504,1068
ABalaaaarr	150	0	171,-1303,-2159,1442,1290,-238,1520,-4267,675,716,-87,-1727,-2317,1115,952,4506,2446,-2939,2114,1089
ABalaaap	-272	0	-3367,-344,-104,365,-945,1356,-3086,627,1088,2305,868,-215,-29,1589,-990,1054,-1831,-1212,-3385,-1822,-1526,586,1098,501,-754,-1243,2077
