cell_name	average_expression	binary_call	time_point_expression
AB	632	0	632
ABa	-541	0	382,-435,-725,240,-1409,-1160,-682,-389,-617,-618
ABal	-694	0	-208,-99,1066,-618,-554,-2320,-633,-989,-1704,-1080,-744,-449
ABala	-1364	0	-1368,-1596,-752,-885,-2085,-1385,-1428,-1084,-1954,-871,-2944,-17
ABalaa	-367	0	-2161,-365,-1843,241,844,-2035,-1550,-765,-369,-979,603,-1010,-156,-373,1326,-211,3659,133,-1957
ABalaaa	828	0	1360,-1919,1591,604,-519,2847,255,3373,2429,972,1507,1457,1171,1238,1341,197,-469,-231,1551,-527,934,1087,-1206
ABalaaaa	-332	0	-3228,-868,133,523,-573,1054,2366,-1258,-1923,-2060,675,-297,-421,1558,1215,-382,187,-1777,623,-1216,-74,-568,-1398,-2149,21,1395,61,-1346,741,626,-951,-623,1165,-2510
ABalaaaal	89	0	158,-531,-2121,3401,-396,1157,743,-2748,723,3102,3177,-1459,-3535,3216,-1117,3288,3899,-340,-278,-2499,127,94,134,1179,1248,374,5,-623,137,101,-1757,-328,1083,-1712,-1941,-3603,923
ABalaaaala	643	0	-170,1625,1443,-2535,2779,-1815,-601,-393,2157,-838,2118,-1086,843,3246,-177,3146,1604,-483,408,1160,-221,1932
ABalaaaalp	-371	0	-3002,-1080,-322,843,-1659,-1608,426,-597,537,-381,-279,2568,-4280,862,1720,766,1932,-2825,144,1309,-1498,-1738
ABalaaaar	460	0	-1419,1898,-621,2239,-2793,1961,467,3289,3290,1119,996,266,-74,1670,691,-1858,633,4487,-634,392,-2317,-230,859,-1758,-266,1519,246,506,73,317,-1917,744,455,-1383,1345,-476,1632,320,1372,1351
ABalaaaarl	-706	0	-2680,773,-2791,312,-136,-299,-1042,1221,1215,-693,-604,-2415,3458,-2537,588,-4226,-133,-3692,269
ABalaaaarr	814	0	1815,1742,295,996,-1212,2462,607,2262,5392,-1497,87,3069,795,2304,1629,-4988,469,1215,-1974
ABalaaap	193	0	1361,1470,-2222,-2,1357,-1096,701,77,-306,59,-1247,805,2610,1398,427,-970,-1762,2266,-1742,-63,-703,1889,-668,1468,-220,776,-1246,2562,2740,-1529,-206,-1815
ABalaaapa	6	0	3073,-1038,-1202,488,3045,551,-1268,-264,696,2094,2165,-112,-1093,938,-3130,-682,-801,1385,-249,2538,-1392,-2121,-1822,-1176,-534,2359,-1324,-1365,-2025,-716,1924,1277,1675,-485,-149,-1157,-3584,5537,-1838
ABalaaapal	24	0	-830,2302,1375,-225,-2966,2944,-1375,4379,-358,-585,-2221,372,2001,-181,-1984,-773,-1463
ABalaaapar	160	0	-633,239,380,2508,-3929,-52,2481,-3714,97,494,2353,3349,-1749,-2046,266,-1300,1535,1364,366,-2138,779,2879
ABalaaapp	-488	0	-1118,-18,3831,294,675,-76,-1597,2012,407,-892,-512,-2396,-1175,-2626,-2029,1145,-2278,1110,165,397,1961,-2736,-779,-999,1256,-2192,727,311,-2412,1303,-2813,-896,-655,-230,-1679,554,-4106
ABalaaappl	335	0	1971,-15,2249,2389,-108,1001,-2841,1017,-1963,1663,954,961,640,487,1799,597,1883,-295,-164,444,-2362,-667,1780,-3373
ABalaaappr	-211	0	-608,375,874,-2100,-2964,-3176,526,-110,-436,84,-1594,544,-2599,2208,-4226,-320,631,3104,4901,-610,-1436,2134,-735,464
ABalaap	466	0	-688,3254,-342,-453,721,204,-704,2352,2166,-956,1085,303,699,-142,169,869,2670,625,-1657,954,693,772,-786,-626
ABalaapa	68	0	-1934,-69,-53,-1549,803,-139,858,570,1444,-2097,1246,1534,885,1694,-2377,1387,-741,-582,-2509,-1026,-1274,-926,1446,1666,-319,124,408,-543,-1149,-1371,690,2364,1789,897,1242
ABalaapaa	-259	0	-1446,-804,454,1306,-1312,2230,-769,-1330,784,-1267,-1250,1707,570,1688,-2440,1126,2122,-3024,1412,-1872,-2458,807,1202,-568,-1075,1033,2385,-2460,-1928,-471,-217,-108,-1069,-568,56,-1040,1341,-935,1142,-2545,-1040
